question,answer,Declarative_Text
"Good afternoon, Miss Bonhomme.",Good afternoon. | (Plaintiff's Exhibit No. PT1163 for i.d.) f
"All right. And I apologize. I must have been confused. I thought that when she that position that you were her successor, but I must have it backwards.","No, Howard I"
You worked underneath her?,Howard Willard was her successor. I j; reported to her ;
Okay,In that position. ji
"so that was June 5th, 1980 Mr. Johnston talking about his, you know, project that he's wanted to work on for sometime involving teenage smoking like ; we referred to earlier, right?",Yes. j (Plaintiff's Exhibit No. PT3405 for i.d.) \
"And so let me hand you PT 3405, which is a big document, big in pages, page length I should say. I'm sure you were stunned to see this one here today, right?",No. ;
"All right. So 52-page document that I just handed you, you can look at the last pages.",Okay. j
"This is a document dated March 13th, 1981. Right?",Yes. \
"So that document we looked at from Myron Johnston just a moment ago was June 5th, 1980. This is about nine months or so afterwards.","Yes, about that. ;i"
About nine or ten months?,"Yeah, about that. j"
"Nine or ten months later. And the title of this document is Well, let me back up a step. So we have this Philip Morris USA Research Center is at the top of the document on the first page?",Yes. j
"And I'm sorry. I'm looking at the page even before that. I apologize. Yeah, that page.","This page? \ Q A Q Yep. Start with that. Okay. 1: So that says Philip Morris USA Research Center. It's under type of report it's got special, little x-in the special box? A Q 1981. Yes. j And then it has the date there, March 31st, The report title is Young Smokers - Prevalence, Trends, Implications and Related Demographic Trends? A Q A Q A Q A Q Carol} A Q above A Q Yes. Written by Myron E. Johnston? That' s correct. j; And signed by Mr. Johnston above his name? Yes. j Approved by a Harry G. Daniel? That's correct. Signed by Mr. Daniel above his name and fn J. Levy. Yes. Miss Levy or, excuse me. Dr. Levy signed : her name as well? Yes. \ And then for distribution there's a number of individuals that are identified down there: Mr. Thompson again, Daniel, Levy, Meyer, Zoler and Goodale. You see that?"
"And if you go to the next page, second page, this is this report being transmitted to Dr. Seligman, Dr. Robert B. Seligman?",Yes. j
Director of research and development?,Yes. :
"For Philip Morris, I should say?",That's correct.
"Same date, March 31st, 1981, a letter on Philip Morris USA inter-office correspondence, do you see that?","Yes, Richmond, Virginia."
"Right. Richmond, Virginia, exactly. Same subject, Young Smokers - Prevalence, Trends, Implications, and Related Demographic Trends.",Yes. \
"Reading from the top there, ""For over years..."" so that would take us back to 1966 or earlier basically, right?","The date of the report, yeah. i"
Yeah. I'm just going from the 15 years to the other,"No, yeah, it does I don't know what the \ data goes look. Okc up to, if it's up to '81 or we'd have to i ay. \ Right, right, right. And I guess that's a fair point. It may be 15 years from the data if the data only would be, Q- somewhere goes to 80 or '79 or something like that. Right. Or if the data goes all the way to '81, it you know,'66. Yes. Somewhere in the '60s? Yes. I Is that fair? Yep. I Okay. So ""For over 15 years..."" back to in the 1960s ""...certain demographic and social trends have been moving in directions favorable to industry growth."" demograph. 1985, all Correct? Yes. ""Now one by one these powerful, social and Lc factors are turning against us. And by will be operating against us."" Did I read that correctly? Yes, you did. ; ""The trends are: Number one, after increasing for over a decade, the prevalence of teenage smoking is now declining sharply. ""Number two, After increasing for over a decade, the average daily consumption of teenage smokers is declining. ""Number three, After increasing 18 percent from 1967 to 1976, the absolute number of 15 to 19-year-olds will decline 19 percent during the 1980s with the period of sharpest decline beginning in 1981."" Did I read that correctly?"
"And then he also goes and talks about the absolute number of 20 to 24-year-olds, daily cigarette consumption has declined nationally, and in 1985, the number of people who are in the age group most disposed to quit smoking, ages 45 to 54, will begin to increase dramatically. Do you see that?",Yes.
"Sorry. Next page, ""It is inevitable, 0 therefore..."" Excuse me. Let me rephrase that. ""It is inevitable, therefore, that industry sales will begin to decline within the next few years. Do you see that?",Yes.
"And then looking down at the next paragraph, this report deals with only one of these trends, teenage smoking and attitudes towards smoking together with related demographics."" Do you see that?",Yes. j
"So, you know, he identifies, what was it, five six sort of different factors there. The first three sort of relate to teenage smoking. And he essentially says that this report isn't going to really i address four, five and six; is that fair?",That's fair. \
"Subsequent reports, though, will cover those other factors, if you will. And then after",
"All right, Miss Bonhomme. Back on the record. So we were looking at this document from j Myron Johnston.",Yes. I
"And I think we were on page, if you look at the bottom right-hand corner, look at page five, which is sort of the beginning of the document itself. We looked at the",Okay. I
"We looked at the letter to Dr. Seligman and sort of transmitting some summary information. Now we're in the actual document itself, the report, if you will.",Yes. |
"So if you look at page five there, it has a summary? 15 A. Yes.",
"All right. Let's read that summary together, ""It is important to know as much as possible about teenage smoking patterns and attitudes. Today's teenager is tomorrow's potential regular customer, and 0 the overwhelming majority of smokers first begin to smoke while still in their teens. In addition, the ten years following the teenage years is the period during which average daily consumption per smoker increases to 4 the average adult level. The smoking patterns of teenagers are particularly important to Philip Morris. Of the 11 packings of which the median age of smokers is under age 30, seven are Philip Morris packings, and the share index is highest in the youngest age group for all Marlboro and Virginia Slims packings and for B&H, Benson & Hedges, Lights and Menthol."" Did I read that correctly?",Yes. \
"Furthermore, it is during the teenage years that the initial brand choice is made. At least a part of the success of Marlboro Red during its most rapid growth period was because it became the brand of choice among teenagers who then stuck with it as they grew older, this combined with the rapid growth and the absolute number of teenagers."" Did I read that correctly?","Yes, you did."
"Based on this document and these conclusions, isn't it clear that teenage smokers are very important to Philip Morris?",
"Well, I mean, teenage smokers become adult smokers, right?","Yes. And when they are adults, they if they're smokers, they are important to Philip Morris. The company certainly recognizes that people age, and as people age, once they become an adult if they smoke, Philip Morris wants them to smoke one of the brand we make."
"Okay. But it's your testimony today that smokers, teenage smokers who are 18 or under are unimportant to Philip Morris?",
"Yeah, I said teenage smokers who are 18 and under are unimportant to Philip Morris.","And I'm restating it as an 18-year-old is of legal age to smoke. So teenagers who would be 18 and 19 and adults who are 20 and older are all important to Philip Morris if they're smokers. Individuals under 18, the company does not want individuals under 18 to smoke. When they become adults, if they choose to smoke, certainly the company wants them to purchase one of the brand we make."
"Okay. And obviously Myron Johnston wasn't talking about people who were 18 and older when he was talking about teenagers here, was he?","No, he was not."
"If you look down on the next paragraph there he says, ""Average daily consumption of these young smokers also increased, so that between 1968 and 1974, the number of 12 to 18-year-olds who smoked ten or more cigarettes per day more than doubled."" You see that?",Yes. 0 Q. So this group that he is identifying as being important to Philip Morris in this document is looking at 12 to 18-year-olds. Is that fair?
"Look at the next page, if you will. 3 A. Okay.",
"Source, paragraph where it starts with, ""The decline...""",Yes. |
"""The decline in the prevalence of teenage smoking has been sharper among boys than among girls. And now more girls than boys smoke cigarettes. The decline in teenage smoking has been particularly pronounced among blacks which may account for the decline in Kool's market share. The northeast has the highest prevalence of teenage smoking and the west has the lowest. Between 1975 and 1979 the proportion of teenagers who say they definitely will not be smoking five years hence has increased dramatically. ""The major reasons for the decline are the perceived health hazards of smoking and peer pressure not to smoke."" 0 Do you see that?","I do. I 2 Q. So one of the one of the major reasons identified for the decline in the number of teenage 4 smokers is peer pressure not to smoke, sort of a shift 5 in that, it was cool to smoke and now it's not cool to | smoke, right?"
The other reason is because of perceptions or beliefs about whether smoking is a health hazard?,Yes. j
"So the more people became aware, the more people knew, believed that smoking was a health hazard, that also depressed the incident of teenage smoking?",
"Well, let me",If you can just rephrase.
Sure. Let me rephrase it. The a major reason for the decline in teenage smoking between '75 and '79 was the teenager's perceptions regarding the health hazards of smoking?,Yes. ;
"So as they more teenagers became aware or perceived smoking to be a health hazard, they were less likely to smoke; is that another way to say that?",Yes. !:
So the concern he's expressing here isn't about forecasting. The concern he's expressing here is about the fact that this ever-increasing pool of teenage smokers that had been there in the past won't be there in the future as smokers either quit or die?,
"That's the conclusion he's drawing, right?",Repeat what you state the conclusion is.
"The conclusion that he's drawing is that unlike in the past where the industry could rely on an ever-increasing pool of teenage smokers, new smokers to i; begin smoking to replace those individuals who would either die or quit as adult smokers, that trend is ending. They can't rely on that anymore because of the decline in the percent of teenagers who smoke, the decreased levels of consumption amongst those teenagers and the decline in the absolute numbers of teenagers?",
"Did you see that conclusion is drawn? let Again, I'm not following the question, so j; Well, you said earlier that this was just maybe forecasting. He's trying to look at these people will become adults at some point, so that's why the teenagers document. yes . that. He teenagers are important, right? Do you recall that? Yes. That's my understanding of this jj Well, what he says I'm sorry. That's my understanding of this document, What he says here is a little different than says that the decline in the percent of who smoke, okay, so the declining percentage of teenagers who are smokers, right?",Yes.
"And the decline in the absolute numbers, mean, you know, as part of the population, there are just fewer teenagers around, right?",Yes.
"Well, that means that the industry can no longer rely on an ever-increasing pool of teenage smokers to replace adult smokers lost through natural attrition. Do you see that?",Yes.
"So what he's saying is is that as these trends have changed now, we can no longer rely upon an ever-increasing pool of teenagers who will become new smokers to replace the adult smokers who either quit or died? That's the conclusion he draws.","Well, my interpretation of the conclusion he's drawing is saying in the future we can no longer rely on the demographics and the incidence of smoking to when you look at the future marketplace. I mean, throughout this document I'm now left with the impression that he's talking about today and today's marketplace. He's talking about today and what's going on in the population because of what it means for the future. So as people die, as people leave the market is like a future forward statement, right? So I don't think he's saying today. He's not saying this is the situation today and I'm explaining today's market. I think he's saying I'm looking at the population of the United States, demographics of teenagers, smoking rates, and I'm using that to think about the future and what it means for the company. That's my interpretation of this document."
"Well, as we looked at before, he's looking at the past for over 15 years and explaining how those trends were unfavorable to the industry, right?",Yes.
Favorable to Philip Morris and other tobacco companies?,Yes.
"And he's saying that those trends are now changing, and it's going to be different in the future, right?",That's right. That's what he's saying.
"But the difference that he's noting is and maybe let me back up a step because obviously Mr. Johnston as identified in his other documents, he's 4 under the he has the belief that most people who become regular smokers are ready regular smokers by the time they're 18, right?","He's of that opinion in this document, yes."
And he's of that opinion in other documents. That's been his conclusion in the work that he's done 5 for Philip Morris that people are regular smokers by by and large?,"I've seen that stated in other documents. But I don't I don't have a review of all of Myron's work, so..."
"I understand. Just in the ones we looked at you and I together today we've seen that, right?",Yes.
"And so if that's the case, if most smokers begin smoking before the age of 18, that's consistent with what he's noting here as far as the concern that we can no longer rely upon this ever-increasing pool of teenagers to replace the adult smokers that we've lost through natural attrition as he calls it?","I think that's what he's saying. He's saying because of changes in the population, changes in smoking rates, changes in consumption among individuals in their teenage years, the marketplace going forward is going to be very different for the company. I think that's what he's saying. I think that's his -- that's his point of view."
"Right. And the basis for that is that it's the teenage smoking that's changing. Under the age of 18, that's what he's talking about?","That is what he's talking about. He also talks about over 18, but he is talking about under 18."
"But that's the basis for his sounding the alarm as he sees it, if you will, in this document?",I think that's the basis for his analysis yes .
"All right. One of the other things that's mentioned in here is that, you know, the natural attrition here for a student, you know, adult, that these teenage smokers were necessary to replace adult smokers lost through natural attrition. Do you see that, on that same page?",I remember reading it.
"Yes, it's on that same page right there, same sentence.","Yes, I see it. 0 Q. And earlier we, I think we looked at the fact that, you know, he mentions in here if you want to go back to the summary, you can, on page five, but he mentions that, you know, the prime quitting age, 2 4 that age where that natural attrition occurs is ages to 54. Do you see that?"
She was 52. So she would have been in that prime quitting age?,
"Just based on her age in this document, right?","In this document, yes. !;"
"All right, Miss Bonhomme. Thank you for your patience today. I just have one additional document that I want to go over with you that relates to the same subject we've been talking about already. And this is PT6030 for the record, January 19, Philip Morris inter-office correspondence, Myron Johnston again to Mr. Jon Zoler. Do you see that?",Yes. !:
The subject is the ages at which people start smoking.,Yes. j
