continuing_examiner,Declarative_Text
"From RJR's point of view -- waaHBWBwwwaiMwwwB^^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING From our -- -- did any of the design changes that you just mentioned decrease the risk of cigarettes? I believe they decreased it to some degree, yeah. Okay. I do believe that. I believe what the epidemiology says and has said for decades. I also believe that that reduction is not large enough, that that reduction was not as large as both the cigarette companies as well as public health thought it would have, and so, therefore, you see some of the things that were done at Reynolds to take a different path: Things like the development of Premier and Eclipse and moving in different directions in terms of looking at the public health issues related to tobacco products. Did -- How much did it reduce the risk? All these design changes from the 50s, how much did it reduce the risk of traditional cigarettes? I don't know, I'm not an epidemiologist. But, from what I understand, there was a reduction between certainly non filtered cigarettes and filtered cigarettes. I don't know what that number is. And, again, I would go by what I read in Monograph 13 that there was some reduction. I don't know if I can put 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING a number on it. I don't know if they put a number on it. | Was it statistically significant? I would say it was, yeah. And, certainly, the epidemiological reports between non filters and filters, at the time they came out in the 50's, 60's and 70's, certainly indicated that. Do you know what percentage of the population was smoking a filtered cigarette in 1960? In 1960, it would have been less. There were -- Filters had became popular after Winston came out in 1954. So by 1960, I wouldn't -- I don't think it was s half at that point, but certainly as you move through the 60's, it certainly rapidly increased. And, you know, where we are today, obviously, there's very few people that smoke non filtered cigarettes and almost everybody is smoking not only filtered cigarettes, but lower yielding cigarettes. Were the filters added to cigarettes for safety reasons?",". weeks ago on that issue. So* yeah/ I'm generally aware of that. Do you know what the rise in adenocarcinoma is attributed to? Well, I don't know exactly. I think the surgeon general and others may have suggested that cigarette design plays a role. But, like I said, the latest paper I've read, that the adenocarcinoma rates have not only increased for cigarette smokers but it's also increased for non smokers. So, if the adeno rates in non smokers is increasing in a similar way to cigarette smokers, then one can't attribute that to cigarette design, or at least they can't fully attribute that to cigarette design. Do you know who wrote the study you're referring to? I think it was Lee, L-e-e. Is it on your reliance list? I don't know if it's on there yet, because it's reaiiy a recent article, out it will oe. Okay. It came out a couple of weeks ago, in November, I think. We've been going about, an hour. Have we? So, we're going to take a break. ?-&WW'MM'""""""?M^^ cn 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 *s| I- r Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING"
What about the strips; how are the strips made?,"The strips were made, I believe the final version was an extruded strip, as well as the sticks were also, I believe, extruded. So they went through an extruder."
What is an extruder?,"Well, it's like a spaghetti maker. So, that's what you're doing when you do make spaghetti. Or think like of a meat grinder, for instance. You grind up -- stick a New York strip in there, you grind it up, and out comes a bunch of thin, small strips of meat, ground meat. So an extruder works similarly. You take a bunch of powdered materials, maybe add some water, you make basically a paste and then you apply pressure and you put it through a formed dicast head that then will leave you with the shape that you want. In the case of the stick, it came out in the form basically like spaghetti and then you would lay it out, you would dry it, you would cut it, etcetera, And the strip was similar, except it was like a flat - imagine like a flat noodle. In fact, our early prototypes, we went to Wal-Mart and bought spaghetti makers. That's how we did it in the early design and TSSnyffSBSSSSffTffBffCT-k1- l-.'-tf ?iTff ffP??!Tr!!,?!T?%?!T?!ffHTrH!r!T!!H? ro 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 ^ Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING n , TX then we went, obviously, to industrial, proper extruders and things like that. How long has the dissolvable products been on the . market? Since '08, I think. Do you use the dissolve products on a daily basis? I do not, no. Okay. When you were a regular smoker, how many packs a day were you smoking? I was about a pack a day smoker. What brands did you smoke? I smoked Camel, Camel Lights pretty much the whole time until I worked for Brown & Williamson, Then I didn't smoke a Reynolds product when I worked for Brown & Williamson. I used Lucky Strike Lights, Then I participated and helped develop a product called Advance, which was a potentially lower yielding product that had a special filter on it that I helped design, and I used -- I smoked Advance, which came out in 2001 and smoked that product until I quit in '04. Is there a reason you smoked light brand cigarettes? I enjoyed the light brand cigarettes. That was the L J L . C X V v y J L K J J L X J J L J L J L Y 3 L , 1 1 C * E * ' J L L y X . x Z J L x Z X . X - x Z v X * Was there a noticeable difference to you between 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 ^ N> Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING light cigarettes and regular cigarettes?"
When you say --,The mouth full of smoke is different.
"When you say impact, what do you mean?","I mean the amount of irritation that one gets in the mouth and in the throat and, of course, that modulates what kind of behavior you want. So I think when you're a smoker, you puff on a product, if it's your own product, you already you would know what size puff you want to take because you have your preferences. If you smoke a different brand, then your first instinct is to puff on it like it was your own cigarette. Well, you're going to figure out right away whether or not that cigarette is yielding 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING more or less and change the behavior to get the desired amount of sensation that you want. What causes that sensation? The amount of smoke that comes out the back of the w HL VJ d JL w L*- t* G* Is there less smoke in a light cigarette than a full flavor cigarette? Less smoke? Ultimately, under -- I mean, under standard smoking conditions, absolutely, there is. And it's very difficult to overcome that. So filters do work. So when you have a higher efficiency filter and more dilution, whether it's on a machine or you put it in your mouth, you're going to, in all likelihood, get less. Obviously, smokers can compensate to a certain degree and generate more smoke out of a product. But, when you look at the design variables between a full flavor or lights or ultralights product, the full flavor products are designed to yield more smoke. They have a lot of them have more tobacco in them, they have a lower efficiency filter, they may not have any ventilation, so, yeah. So there's more smoke in a regular flavor cigarette L-Iidil Cl 1 U X l X, JL & V \J L \J JL t, J. J. CL11 d X X U11 t w X U u l C L L "" * I mean, it's hard to say. I mean, scientifically, 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 ro Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING we're playing around with terms. You don't It's hard to say there's -- 1 mean, there's no smoke in a cigarette until you light it up. Okay? Right. So the terminology is what is the yield of the product from the smoke and what do we actually measure. It's not the smoke. What we're measuring is we're measuring the particulate matter of the smoke. Okay? That's what.we can physically measure. The smoke is both particulate phase material as well as gases and those things you have to look at differently. Is there more particulate matter in a full flavored cigarette or a light cigarette? If you line up and use the same techniques and smoke a full flavored cigarette versus a lights versus an LliXwilCll*^\JlILrO LX11 KA. XZS JL Cl o w w. V-/ -X- v* Lx X X vi 1 L I %y 1X O / V vS O / V w vX W JL JL JL yield more particulate matter for a non filtered versus a light versus an ultralight across the board. Do smokers of the light brand cigarettes smoke more puffs of cigarettes to compensate? To some degree, they may. Now, what we have seen and what we know is that on average, people who have adopted a full flavored or a lights or an ultralights cigarette -- and we've certainly published on 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING this -- on average, people are exposed to less tar if you smoke a lighter cigarette. That does not mean, however, that somebody who smokes a light cigarette can't generate as much smoke or be exposed to as much smoke as somebody smoking a full flavored cigarette. That can happen and does happen. But, on average, when we look at hundreds of smokers and we collect their filters and we find out what comes out at the end of that filter and we look at those design. changes, what we see on average is a decrease in the amount that came out of that filter for those smokers. X *J v j X l JL vC JL L \J 1 1 Li* Lx X Lvf Cx X vP L* L#* Vw? O O W X v J X L X 1 CA 1 1 X LA X X X X CA V LA X v* LA cigarettes?"
"So is it -- Well, I don't know that I understood your answer.","The government runs very large epidemiological studies and has since the 50's. The big problem in trying to understand the health consequences of smoking is there is a large lag time between when somebody and how somebody has a behavior and when that behavior may manifest itself in a disease. Hence, when you're looking at smokers, because the -- Because what they may be exposed to has changed over that time -- over a very long timeframe, if you really want to segregate out -- and you want to answer your question, do light cigarettes provide a benefit versus filtered cigarettes --then, the way to do that is to take a perspective group of people who only have smoked full flavored cigarettes and find out what their disease rates are and then look at another group of people that have only used light cigarettes and find out what their disease rates are. ^ 1 XXXdL- *L> V c l y LXXl l X U l X X b L* w LAO t"
"So with all of the research that's been done over the years, can you say that light cigarettes are safer than full flavored cigarettes?","I believe I said that. I don't think you can -- with MWU,^W.WjWVvW^,WM|W^ 3RD AVENUE NORTH - BIRMINGHAM. AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING the current data, I don't know that you can do that. Now, I know there are continued government epidemiological studies being done, but I haven't seen reports from those yet and that data is not available. So I don't know that. Maybe you can, maybe the data exists, but I have not seen it. As of today, as we sit here right now, is it fair to say mar iignr cigarerres are no sarer man regular cigarettes? I don't know that you could -- I don't know that you can scientifically say that they're safer than another filtered cigarette. You just can't say either way? I don't think you can at this point in time. Okay. Does the same go for ultra-light cigarettes? I would say that goes in the same category. Now, again, I think what we could say about ultra-light cigarettes is -- and we have certainly published on this -- is that people are certainly exposed to less when they smoke an ultra-light cigarette. Now, whether that manifests itself in significant reductions in disease risk, I don't know that you can say. Are -- Is any one filter safer than another filter? Again, you're asking me safety questions and I'm 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 *g CO CO A x\ . Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Page 55 f going to talk to you about exposure because I don't J know about the safety aspect. What I can tell you is f what is a filter designed to do is to remove the | particulate matter or reduce the particulate matter f exposed to the smoker, so, yes, there is differences j in filters and you can make a more efficient filter j ' \s JL CX J L C u O \JZ JL JL <JL w JL w X X I * JL JL JL L> w JL * >:"
Does a certain type of filter provide the smoker with f less exposure than another? j,Yes. . J 11 Q. What would be an example of a low exposure filter?
And more -- Just so we're on the same page'-- f,Uh-huh. |
".-- exposure -- The more you're exposed to cigarette j smoke, the more likely you are to get cancer, f correct? |","That's a basic toxicological premise. I would agree j with that in general. It doesn't mean that you're j 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 si Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING XA. * Page 56 j going to get a disease, but you -- certainly, your X u Js J. Jl v i v w u "" O And less exposure means less risk for disease, correct? That's the basic premise; that doesn't mean that it's a guarantee. And exposure has to do with a dose relationship, ! correct? C o v T1 e o t So to say that something is lower exposure is also saying that it's more likely to be safe; is that J: fair?"
How many chemicals are in a traditional cigarette?,"lot less. Do you have any idea how much? 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 N CD O) O) / t Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING A, I do. Okay. How much? It all depends on what we put in it. So for certain flavors, the vast majority of what is comprised in the liquid of an e-cigarette is vegetable glycerin, propylene glycol, a little bit of water and whatever flavor we put on. So, now, the flavor is where you would have the largest number of individual chemicals because those flavors can be complicated and some are not. For menthol, for instance, we really don't have much of anything other than a little bit of natural menthol, PG glycerin and water, so when you look at the -- if you do a GC analysis of an e-cigarette aerosol and a cigarette aerosol, it's like looking at night and day. So you look at cigarette smoke aerosol from combustion and you look at all those peaks, it's like looking through a forest of grass. You look at an E-cigarette GC and there's just a couple of peaks. So, are you -- Is it your testimony that there are under ten chemicals in an electronic cigarette? I'm not testifying to that. What I'm saying is the number of chemicals that can be identified in the aerosol of an e-cigarette is significantly and greatly less than regular cigarettes and it will be 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING XT. . proportional to what comprises that E liquid. All E liquids are different, so people may put different flavors in, different combinations of flavors, but regardless of the complexity of the flavor material that goes in, it's still going to be less than a Vw* X vj CI X w L L* vU How much less than a cigarette? Hard to estimate. Greatly reduced. Okay. I mean, literally, there are over 5,000 individual ^f 11 \ILL X x^r CI X Lw* v^lLLIX \X L1 vZ* 11 L* * X I 1 CX v** X tJ CL X sU X- X tZ? / X^ X vj CI X %? X X \Z! O 1LLX2 J*.\Z? t It's much, much less in e-cigarettes. You don't -- you're not putting in 5,000 individual chemical components in an E liquid. I'm just trying to figure out how much less. I understand, but --: and I can't tell you that because I don't know the right answer to that because, like I said, I don't know the individual flavor compound -- components that are put in every e-cigarette. Right. I know some of ours and I know that they are not very complicated, but I couldn't give you a truthful, accurate answer, without doing more research. That's probably a knowable fact, but I don't have that at my 3RD AVENUE NORTH BIRMINGHAM, AL 35203 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING J\ . *\ . A Page 65 I ji disposal as I'm sitting here? jj So how many -- Are there under 100 chemicals in a VUSE? j Again, I don't know what the -- It's a knowable j number. I don't have it at my disposal. I could \ find out for you. It could be under 100. I don't know what the number is. \ Could it be over 1,000? I. find -- Same answer? \ I find it unlikely. But, again, a knowable I j think a fairly knowable thing. I have to look into it. Never really thought about it. Okay. Are you aware of recent studies that j e-cigarettes are causing a condition called popcorn lung? | Am I aware of that? f Are you aware of that? j I have -- I don't know if I've heard that or not. I've heard a number of things being attributed to e-cigarettes, which but, I have not I don't know if I've heard that. You've never heard of the term popcorn lung? No, I know the term popcorn lung, sure. } Okay. But, you haven't attributed that to electronic 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING JL \s Jw \A d X \L? L L- v? O -"
Does R.J. Reynolds study their VUSE product JL .1 \_J tfW L V-i*1 LI O X V KH7 X y,Yes.
"So if anybody knows if VUSE is causing harm, it would be RJR, correct?","We know about our product. We've studied some market products. I cannot attest, and I am not going to testify to the guy down the street whipping up his own e-liquids and buying batteries from,wherever he's buying batteries from. Rut, I know what is in -- I know the safeguards that we put in place when we designed our products, both battery safeguards as well as before -- making sure that the cartridge 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING A doesn't go dry. We make the e-liquid at RJRT Bowman \J wLi CX y At \Jr \js 1 1 1 1 JL. \ s &L wit 1M C* \S < *1* v* y I %A O v vl p*' L* 1 1 \? C? L* J* v? V ? L* LI k** 1 1 v.? J vj? # That's at the R&D facilities. I know the types of materials that we buy are Pharma grade materials so I'm comfortable with how we designed and put the products together and the liquids together. But, I also know, you know, if you crank the juice up on some of these batteries that you see out there, you're going to cause some combustion, you're going to cause some degradation of flavor components. I don't know what people are doing, in terms of what kind of favor components they're using. Well, I'm just talking about RJR Reynolds e-cigarettes. I know generally what is in Reynolds. That's all I'm asking for today? It's been stewarded materials. How long did RJR test VUSE before it introduced it to une marKer. Well, we had to settle in on the design on how we were going to do it. It took about I would say it took about a year before we released design to the marketplace. Did R.J. Reynolds test VUSE on humans? I'm not quite sure I know what you mean by that. We 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 *N| Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING 2. Q A Q A haven't done We haven't completed -- We didn't have to complete any kind of clinical studies with people prior to having to release the product to market. We studied the aerosol, we studied the ingredients, we studied the battery, we studied how it was generating an aerosol. It was stewarded through our stewardship program that did not require any kind of animal testing or those types of tests. Did you do any evaluation of the potential harmful effects that VUSE might have? That's what product stewardship is, so we stewarded the product. We made a determination of what was chemically in the aerosol, what was in the liquid, what the component parts were, of how we were going to construct the cartridge, the wick, the computer chips that are in both the cartridge and the battery. So the whole device was stewarded from both the materials perspective as well as what would be delivered to the consumer. So do you know what the harmful effects of VUSE would be? We don't know what the harmful --We don't know that there's going to be any harmful effects from VUSE. They're -- what we know is that the aerosol comprises of glycerin, PG, and a little bit of nicotine and 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING some flavor compounds. Now, the flavor compounds we use are food grade materials and the stewardship -- the toxicologists in the stewardship group don't believe that there are harmful amounts generated, I can't -- VUSE hasn't been on the market long enough to know if E-cigarettes are going to be harmless. A number of public health groups have suggested that cigarettes. In fact,: the UK says they're going to be 95 percent safer. So we look at the aerosol and we don't see what potential issues there would be in it."
If it turns out that there is an unknown harmful off the market?,
"How many additives are in a VUSE electronic ! 8 cigarette, on average? I","Again, I think we've already covered that. Some ~ | I The main things that comprise VUSE e-liquid is j . f. 11 vegetable glycerin, propylene glycol, water, and pharmaceutical grade nicotine. The flavor package f will vary, so the original flavor is going to be j different than the menthol flavor is going to be I different than the berry flavor is going to be J I different than the mint flavor and I don't have those j _1_ / x. j , ij L, CJ j^ x X X L L V X X C* d \JL IM* V./ V A WX* ' X* <! C? X* K*> X X L* wX. Q L* C5 4 ij. i:"
"But, do you consider everything in an electronic j cigarette as an additive? j",What do you mean? I'm not sure I understand what you j z I. mean. I
"Well, you don't consider, or do you consider nicotine f an additive to traditional cigarettes? I","Nicotine is not an additive to traditional | 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 vj Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING J\ Right. That's what 1 was getting at. So the nicotine in an electronic cigarette, do you consider that an additive? . ' ii Yes, it's not -- An e-cigarette is not an agricultural product. Okay? It is a constructed ' i; product. The nicotine that is used, I've already i told you, is derived from tobacco, but it is pharmaceutical grade nicotine, the same you would use to construct a nicotine replacement product, and the '.j other things that go together to make that liquid are j 'I food grade materials. How many additives are in RJR brand cigarettes? It depends on the cigarette. Some have none. Do you consider ingredients additives in a i What do you mean? \ Well, do you consider the ingredients in a cigarette as additives or are they separate components? i No, you would consider them additives to the ingredients, so ingredients added to tobacco. That's what we disclose to the FDA; that's what they want to . j know. So, for something like Winston, there is no additives; it's tobacco and water. For Camel, it has a flavor package and they have a variety of other additives, manufacturing agents, things like that, 3RD AVENUE NORTH- BIRMINGHAM, AL 35203 -205-397-2397 ^ Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Page 73 I added to the tobacco. So,' it depends on the brand, And, you know, the complexity of that is brand dependant. You can go on our website and look at those lists."
How many additives are added to Salem cigarettes?,I don't have the number committed. If you want to go -- .
Could you give me a ballpark?,"No, but you can go to the website and look at it. J.u it s avaiiaDie mere, in tact, on tne weosite, we have a list of every additive that we use to make tobacco products and then if you want to know by brand, you can go to the website and dial down to Salem Light 100's if you want -- or, excuse me, we ID oon t caii tnem iignts anymore """""" oaiem wnite IUU s or Camel Blue or whatever you want. You can look and see what we put in there."
Do you know how many carcinogens are in Salem cigarettes?,
So the nicotine that is put into the mixture that is used in e-cigarettes is poisonous?,"Nicotine is poisonous, again, at certain concentration water is poisonous at certain concentrations. But, I mean, nicotine is poisonous at high concentrations. You can get what farmers used to call tobacco sickness working in the fields. So, if you worked in the fields without gloves too long, you would be pulling nicotine off the plant and you could get sick."
"If you put a couple of drops of pharmaceutical grade nicotine under your tongue and swallowed it, would it kill you?","I don't know. I don't know what the threshold value jLt ** J- O X. KJ X. 11 -1- t** \-/ L* X, 11 KLP"
Would it make you very sick?,"Again, I don't know what that threshold value is. I mean, our guys know. I've looked at it before, I 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 xJ Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING /-i t XI. . just don't know what it is. So I don't know what a couple of drops means. I don't know how to equate a j couple of drops of pure nicotine in terms of what the threshold value is for an adult male. But that's a j knowable number. There's an LD50, there is a number of values that talk about nicotine. So, yeah, it's a concern. Okay? When we handle it at R&D, we have a j number of safety precautions that have to-be taken j with pure nicotine, \ How long has R.J. Reynolds been able to take nicotine | out of a tobacco plant? | What do you mean? \ I mean -- well, can Arizona R.J. Reynolds -- I think i; what you told me is that R.J. Reynolds can take nicotine completely out of a tobacco plant, correct?"
Can 99 percent of the nicotine in a tobacco plant be | k taken out? |,I don't know. I don't know what the number would be. .j You can get a lot out of it. |
Can 95 percent be taken out? f i,"Again, I don't know what the number is. |"
