question,answer,Declarative_Text
"And in 1999 when you started with Brown & United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 o Page 18 I Williamson, how many individuals were working in the R&D \ department there? A Q A Brown & W Q the time; A name. I Susan Ivy president Q merger in r\. new Reyno Q A Somewhere around 120. I And who was head of R&D when you were there? Tilford Reel was the head of R&D when I joined f illiamson. f Who was the president or CEO of the company at | do you know? | ji It -- I'm trying to remember the person's \ can't remember off the top of my head, but j very shortly after I joined the company became | and CEO of Brown & Williamson. \ Did she remain the president and CEO until the [ 2004? | She did, yes. And then she became CEO of the Ids company. Who's the CEO presently? j Currently of RAI, which is the parent company, [ is Dan Delen. Q A Q subsidiar A Q RAI is Reynolds American? j J_ L -L O . And the R.J. Reynolds Tobacco Company is a y of RAI? | Correct. [ Are there any other subsidiaries of RAI? | en CA3 United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",,
"What? j A inere is oanue re Natural looacco company; there is ASC, which is American Snuff Company; there is Niconovum, which is a pharmaceutical company; there is R.J. Reynolds Vapor Company; and I believe there is an if it's Reynolds International or some other name. But I think I've covered the basics, though.",,
What is RJR Vapor?,It's a subsidiary company that makes,
And what is the brand name of those JL TE JJ VMH -J- VJ C I J v-jr L* L* *w- O 1 *,"Vuse, V - u - s - e .",
Can you spell that again?,"V-u-s-e, Vuse.",
Do Vuse have nicotine in them? JL wf *\ J. \ O,,
Do Vuse have any tobacco in them?,No.,
How does the nicotine who controls the tL* -+j C A 1L I V J KM 1 i. L> VW/ JL 1 1 JL VM? \y \** JL 1 1 \Zr \** 1 JL CA L* VMJ V / tl> O JL X 1 L> \ J L> 1 1 V* V LJl O vZ* *,"R.J. Reynolds R&D through, what do you call I en w it, agreements that the companies forged. IMWWiWHWBBiHWBWHHBSWgBM^ United Reporting, Inc. cn Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",
What does that mean?,I'm sorry. Service level agreements. It1 i s a basic service level agreement between the vapor company j and R.J. Reynolds.,
"Okay. But what does that mean, through service agreements? You control it through service agreements, what does that mean? i","Oh, I'm sorry. Not the -- I'm sorry. The I business interaction as through service level DrrrpPlTIPnt' Q TVip \*A. \m4 4w \m \w- ILL Vw l i L *mf * X 1 1 Vw How we make the liquid? It's made in a manufacturing-type setting, so you control how much j j the ingredients that you would add just like you would j control anything else that one would try to make in terms of putting additives together.",
Are there additives in Vuse cigarettes?,"There are. It's mostly glycerin, water, pharmaceutical grade nicotine and flavor packages.",
"What do you mean by flavor packages, what that?",Proprietary flavors to give the aerosol a la* G> *J L- \H* *,
"You do that to make it taste good to the consumer? I I i is | 'I United Reporting, Inc. W Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",,
What would the taste be without those flavor \ pacKayes.,"It would be fairly bland, maybe a little \ bitter. So it's a typical flavor to make it taste \ taste good to a consumer.",
And the flavor packaging is done for purposes | of selling the product? j,"Well, it's done to be so that the product is acceptable to a smoker. So, yeah, I guess, in essence, it would be, sure.",
And you could sell it without the flavor packages?,"I don't know that we would sell it. I don't know that anybody would buy it, but I suppose you could, |",
So the primary purpose of the flavor packages is to put it into a form that a consumer will buy?,"Correct. Just like nicotine-containing gums, | like Nicorette gum comes in a variety of flavors, fruit j JL- JL C* v \*t JL o CX 1 i *wl v** JL 111 I Cl 1LI v*/ 11 JL JL Cl V v** X, O * X 11 v3- V vJ. vJ L i 1 OL Lf O \*J L. 11 CX lw j_s y0U know, so that the consumer who buys it enjoys f it, so, yeah, it's the same basic premise.",
"You're talking about, like, Nicorette? j","Sure, yeah. |",
Nicotine replacement therapy?,"Correct. Uoited Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",
A nicotine replacement therapy that is primarily used by individuals who would like to stop smoking? T; /\ Lorr6ct^ yes.,,
"You've seen the notice, though, correct?","I have, yes. Do you need me to look it over?",
"No, I just want -- you've actually had a chance to look at it before? United Reporting, Inc. ui Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Page 23 t","I did last week sometime, yes.",
You looked at one of the versions of it? j,"I think. I proDaJoly looked at that version, it ; I'm not mistaken.",
Okay. And you've seen the categories and the areas that are depicted in the notice?,"I have, yes.",
And you said that you have been involved in | litigation on behalf of R.J. Reynolds since 2008?,That is correct.,
"And I know that you have testified regarding j the number of depositions you've given and the number of j trials that you have participated in, what's the -- \ what's the current number of depositions you think [ you've given? \","Depositions, I don't you know, I don't j count them. The lawyers will keep track of that. If you look on my disclosure I think they're all listed, j you can count them up, but I think it's around 45 or 46, it could be more or less than that.",
How many depositions have you given this year?,"I don't know. Probably, I would think, maybe half a dozen.",
"How many times have you testified at trial this vGcLr United Reporting, Inc. 0> Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",Twice.,
How many times have you gotten ready to testify in trial this year?,More than that.,
And then approximately how many trials have you participated in since 2008?,"I think my first trial was in 2009, I think I've been in I think I've testified 20 20 times.",
"And in getting yourself prepared for either depositions or trials, you have met with attorneys for R.J. Reynolds Tobacco Company?","I have, yes. Certainly in the past I have, but we certainly meet, yeah.",
"And do you remember testifying in the Hughes case, California?",I have not testified in that case.,
By deposition.,"A deposition is not completed yet, but I did begin a deposition in the Hughes and Majors case.",
Okay. Do you recall testifying in the Hughes case that you have you would approximate the hours that you have spent meeting with lawyers over the years in preparation for other depositions for trial in the hundreds of hours? w,"Yeah, I can't remember if that's what I said | J United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 or not, but it sounds reasonable. That's -- over the years i would say that's probably reasonable, yeah.",
Okay. Because you don't specifically track the number of hours that you sit down and meet with a,"I do not, no.",
"So when you gave an estimate, it would be reasonable that you have spent hundreds of hours, that was your best estimate of the time that you spent working with attorneys getting ready for either deposition or trial in the work that you do for R.J. Reynolds?","I represent R.J. Reynolds, so, yeah, we certainly take litigation seriously, so I do prepare. The bulk of the time I spent with lawyers would have been in 2008 where I met with them on a weekly basis to really learn the history of Reynolds. So from a case-specific perspective we don't spend very much time getting ready for depositions or trial anymore with Z\) the ~*~~ with some exceptions .",
"My question was, in testifying that it would be reasonable to estimate that you have spent into the hundreds of hours in preparation for either deposition or t~rial is based on vonr best* e tiTna't"" of"" hVipi +-1 m c oi ' *:; w -si that you have spent doing that since 2008, that was my Ol o United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 H. question A Q actually A Q In total, yes, I would say so. And then there's also time spent obviously in usposiLion as well as in trial, correct. i There is, yes. Okay. And, typically, how long do your depositions last on average? \ /\ You know, it depends on -- you know, it's not j my deposition so it's really on the plaintiff's attorney | to make so it's Q A the determination how long they want to spend, hard to say. Okay. | Some of them last, you know, more than a full eight-hour day, some of them last 45 minutes, so it's j it's qui Q estimate you have c\ Q hundreds 2008? A never th te variable. j My question was, though, do you have an j as to what the average number of hours is that testified in deposition? | Oh, I don't have that estimate, no. j You would expect -- strike that. Would a reasonable estimate be into the I of hours, if you had given 45 depositions since j I mean, I would think so, I just really have ought about it, but, you know, I would say so. \ Ol CO o United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 I mean, they certainly last an hour and I've done about of them, so it's probably not unreasonable to think that there's hundreds of hours there. But I never j really bothered to count it up or think about that.",,
"Okay. And in the testimony that you have given actually at trial in the 20-plus trials that you estimate that you've given, you probably will be into at \ least over a hundred hours of trial testimony, correct, if you've done that 20 times?","Again, I don't know. I never really thought about it. It could be it could be a hundred hours, it could be over a hundred hours, it could be a little j less. I haven't really thought about it. I mean, sometimes I only go on the stand for, you know, like a two- or three-hour period, so it's hard to say. j",
"So either between - either testifying in deposition or trial or preparing with attorneys to testify in deposition or trial, you have devoted many \ hundreds of hours for that type of work that you do on behalf of R.J. Reynolds Tobacco Company, correct?","Again, I don't characterize it as work, it's something I chose to do. It's not part of my job description, but in that sense, yes, I'm an experienced j witness, I've spent many hours doing this, so, yes.",
"And how many attorneys do you think that you | United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 have met prepared A but I do are tryin you know, that I've with in these hundreds of hours in getting j for either deposition or trial? Mainly the folks at Womble -- Womble Carlyle, | meet with the individual trial attorneys who g the case to go over my direct testimony. So, \ again, I don't know ~~ there have been trials been to that, you know, I've had the same representation, so somewhere less than 20 trial attorneys H I ~ P - J - * , - - j ^ r t . i ^ j - . ^ . ' i . j . Q * * _ y . g - ^ - p , - v 1 I J - Q a 4 * T V T y "" \ Y Y \ f \ j j C i { "" * S "" K * 1 \ / 1 o > ' that I met with in preparation. Q /TL Q an office A Q American? A Q A Gray Tech Winston-S Q A Womble Carlyle is a law firm? They are, yes. And their law firm is located in they have in Winston-Salem? \ They do, yes. \ And is that office next door to Reynolds j It is, yes. How f3,r is that office fTQrn vour ofriCG^ * It's several miles away. I work at the Bowman | nical Facility which is in another part of alem. \ i But y'all work in the same city? j Correct, yes.",,
"And have you had meetings with attorneys in ( United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Page 29 I the Womble Carlyle office? |","Uh~huh, yes. \",
Approximately how many attorneys at Womble Carlyle do you think you've worked with getting ready f for deposition or trial? f,"Like maybe five or six. Mostly just two or | three, but over the years probably about five or six.",
Who were the -- who were the five or six? \,"Mr. Latham, Will Latham; Chris Kreiner; Janna j Newsome, who's no longer with the firm. I worked with j Phillip Brown, who's an attorney there. Whitney Passmore, another attorney there. Geoffrey Beach, I've \ worked with. Those are the folks I can think of off the top | of my head. I mean, mostly it's been Will Latham and \ Chris Kreiner. \",
Who have you met with in regards to this case? \,Will Latham.,
Just Mr. Latham?,Uh-huh.,
Yes? \,"Yes. Sorry, didn't mean to mumble.",
"That's okay. Shook, Hardy & Bacon, you're j familiar with that firm? j","I know of them. | ro United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Q tobacco A Q Hardy & Page 30 I They represent a cigarette manufacturer in \ litigation? \ Phillip Morris, if I'm not mistaken, yes. \ Have you worked with any lawyers at Shook, Bacon in connection with either preparing for deposition or trial? A Q A Q A Q you thir A No. No. No, I have not. Jones Day, are you familiar with that firm? Uh-huh. Yes? Yes. T+- ' c okav How rnanv 1 wvpr*? at Jonps Dav do ik you've worked with? I'd have to think about that. Certainly Jones \ Day represents R.J. Reynolds. They often -- they often try cases. I don't know, maybe I haven't thought | about tr ying to figure out how to name those guys, but I l could name a few. j Q A Bierstek Q A n r e. Q Sure, go ahead. Stephanie Parker, I've worked with. Peter .er, Steve Kaczynski, Belasic, I've worked with. | Mark Belasic? Yes. That's all I can think of as I'm sitting \ John Yarber? \ United Reporting. Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 A Page 31 j",
When was the last time you worked with John -- John Yarber or John Walker? f,They just they were in cases that I was in. | So I don't know that I've -- I've not really -- I just know them because I see them and they've represented Reynolds. I don't -- I wouldn't say that I've really [ worked with them.,
But you've had interactions with them in terms | of some preparations for trial testimony over the years?,Not much really. Not really.,
Not at all or not much?,Not much. {,
How about Christine Lawson?,"Off the top of my head, no.",
"Moseley, Prichard, Parrish, Knight & Jones, I the law firm that we're at now, have you worked with any \ of the attorneys here? j","Again, there they have been -- they've been a \ local, so I've had interactions with them. In terms of preparation, no. =",
"King & Spalding, are you familiar with that \ firm?","Yes, I am. \ United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Q Okay. Who have you worked with in that firm in preparation for either deposition or trial? \ who else the top o principal Q attorney? A Q familiar A Q A Q A Q Jeff Furr principally. I'm trying to think of | I may know at King & Spalding. You know, off [ f my head that's the one -- that's the person I've worked with. Randall Bassett, are you familiar with that Not that I'm not off the top of my head. Frank Bayuk at King & Spalding, are you with that attorney? j No. Kathryn Lehman at King & Spalding? No. \ Ursula Henninger? Ursula, I have worked with before, yes. \ When was the last time you worked with Ms. Henninger? [ A Q with this A Q A Maybe a couple years ago or a year ago. j Have you spoken with her at all in connection | case? j No. No, not -- not directly, no. i What do you mean ""not directly""? Not directly. I have not talked to her United Reporting, Inc. Oi Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 believe she may be trying this case, but I have not spoken to her at this point.",
Okay. But you've worked with her in the past in qetting ready for other deposition or trial?,"Not deposition, trial. o \2 Just trial. UKay. Any o t ner law iirms t n a t you have worked with in the past that we have not discussed",
"In connection with your work that you do in litigation, have you reviewed internal business records of R.J. Reynolds and Brown & Williamson and American Tobacco Company?","In preparation for litigation, yes, I have. I have reviewed internal documents, mostly R.J. Reynolds",
And approximately how many documents in total have you reviewed in preparation for litigation between the three companies? Your best your best estimate.,"I don't know. I would ~ again, I would have to say certainly over a thousand if not more. I ZJ certainly gen presented witn documents in trial anct there's documents that I've looked at in preparation, so I've seen, I would say, thousands of documents. 'WWWMMWHMWfflMffMMM Ol o United Reporting, Inc. Q Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",
Right. The thousands of documents would f include documents that attorneys for R.J. Reynolds have presented to you to review? j,They would.,
And attorneys who represent plaintiffs who are j suing R.J. Reynolds have also presented documents to you \ that lawyers for Reynolds did not?,"From time to time, yes. j",
And have you reviewed any -- have you reviewed \ documents in connection with your testimony in this case?,"I have, yes. j",
Approximately how many documents? j,I reviewed all the documents that you sent \ that identified.,
Do you remember how many that is? \,"No, it was a it was a it was a good \ stack, though. \",
Okay. j,I didn't count them. \,
And what's the purpose of lawyers presenting \ you with internal business record documents over the years? i,,
why were you reviewing internal business \ JL sIJ w KJ X KJi O \J X X\ * O # X\ \Z* V 11 v J JL vd. O JL \J X> CL tw w w V/ L-' 111 kJ OL 11 V JL 11 *w v 1111 \H \w L- X*. \J 1 with your the work that you do in litigation?,Why was I?,
Yes.,"Well, because certainly there are issues that are discussed commonly in litigation, and some of those JL *H} O LI \* W X 11 V %/ JL V \Z* \*X \*s \w L*l I LvU 11 L O L* 11 C3. L* W \Z* JL w* W JL JL w w > 11 JL 11 L* 11 vr k-* CX O L* * And to be frank, most of the time, the same sets of documents are used time and time again in just about [ every trial that I'm in, so I think it was wise that \ plaintiffs -- or, excuse me, that defense attorneys j would expose me to those documents so that I would get an understanding of what they are.",
"So there are thousands of documents that are j"" admitted into each of the trials that you've been | involved in?","I don't know. I mean, I haven't -- that's not j part of my -- that's not part of what I -- what I would do. But it's been my experience at trial and in \JL vli>* P*-* **tr CJ X. L* X, \m/ 11 L* 11 CX L* Li-11 vH* 1 vHr O X- %Z# OL J- -L y CL L> C -L L* OL X. 11 %2b \IJ L* \y X. documents that are commonly used, an unlimited number, Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 actually.",
Have you met with any R.J. Reynolds Tobacco Company employees other than attorneys in connection with preparation for either deposition or trial?,No.,
"So in getting prepared for the work that you do as a witness for R.J. Reynolds, you've reviewed o ousiness records, internal company records, men wmn attorneys and reviewed deposition testimony at times of various witnesses, correct?","Are you asking me in general, in terms of my general preparation for --",
Yes.,"In general, my preparation has been that. But also my experience as a scientist. I do talk to other scientists and have throughout my career, so I certainly rely on those discussions when I talk about issues with regard to litigation. So I don't specifically talk to people at Reynolds to get ready for trial, but I certainly rely on that experience that business experience and R&D experience at trial.",
"And that has been true since 2008 when you started getting involved in litigation, that you have not specifically spoken with employees of R.J. Reynolds in preparation for either deposition or trial? WMWBHHWHtWHMWMWWHWH N I ""* o CD United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 I not Q Page 37 i Not in preparation, no. Certainly -- not that j that I can think of, no. | Yeah, I understand that you have to speak to | employees within the company with regards to the work \ that you XT. Q speak to directly do outside of litigation, correct? Yeah, sure. But you do not make you do not specifically | other employees of a company in connection \ in connection with the work that you do in litigation? A Q A together no. Q about in A do? You J. me an, Q A Q Gentry, < at R.J. Not really, no. Not that I can think of, no. j And that would include Jeff Gentry? \ We certainly have talked about litigation i but not -- not for the purposes of preparing, i Okay. What have you talked with Jeff Gentry connection with litigation? j How did the trial go, you know, how did you J know, did you -- you know, that kind of stuff. it's really kind of top line -- [ Casual conversation? j Pretty much, yeah. Other than casual conversation with Jeff j are there any other employees that you have -- Reynolds that you have spoken to about United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Page 38 j litigation?","Sure. I mean, I've talked to -- I've spoken to most of the people in my group about litigation, they j oinen wann to Know wnere i am. oo i o r L e n neii L n e m, you know, I have to go to Florida for litigation. So in | that sense I've spoken to all my employees about it. |",
"Other than just casually discussing your scheduling -- schedule with individuals within your group, any other discussions about litigation with anyone -- anybody employed at R.J. Reynolds other than Jeff Gentry who you've already told me and the \ scheduling discussions you've had with individuals in \ your group? {","I mean, people ask me questions about, you \ know, litigation and trials often at R.J. Reynolds. You \ know, I don't think it's -- it's not really a secret f"" In 3 ""h j"" ""h p""T p ' c p |- Q M oi"" 11 ""-l J3""h Rf^X/nolHI'^ + ""K pa +-"" ^Vi^al1-"" work -- do -- that work there that have to go and \ represent the company. So it's -- it is a topic of | conversation.",
These are just \,"I'm not quite sure what you're -- what you're getting at, but... j",
"I'm not getting anywhere, I'm just asking questions, j United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 <J 73E Page 39 f r\. \J JV cl y # you're just -- the people that you just referred to are people who are iust interested in ~- strike that. The people who you just mentioned who have asked you about trials, that's not done in connection with you getting ready or prepared for either deposition or trial? j","No, not at all. No, it's just --",
Those are just people who are interested in j what you've -- where you've been or what you've been doing? |,Correct. j,
Because they didn't see you in the office? j,LOiicCLt LOrrcCti i,
"Okay. So other than those people, Jeff Gentry j and the people in your group who are interested in your scheduling matters, any other individuals within the company that you have spoken to about litigation?","Well, certainly the in-house counsel, Jeff Raborn and Ben Shively, principally. So the two in-house Reynolds lawyers. But other than that, no. \ And I don't really talk to them in terms of preparation j so much. j",
"So other than talking with attorneys who represent Reynolds outside of the company and attorneys who represent Reynolds who work actually inside the company, the casual conversations that you mentioned j with Jeff Gentry and the individuals within your -- in your group, no other conversations related to litigation with any other individuals within the company, correct?","Not that I can think of, no. \",
Okay. And that's been true since 2008 since you started? I,"For the most part, yeah. \",
Prior to 2008 had you given a deposition \ before?,"No, I don't think so.",
Prior to 2008 had you testified at any trial \ before? |,No. \,
Prior to 2008 had you given any scientific \ presentations?,Yes.,
"Internal, external? f i Ol United Reporting, Inc. &j 954-525-2221 W Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 A Q A Q A Q since t h a t p Yes. Both? Both. Okay. When did you first give a presentation?","science presentation? Yeah. Strike that. Bad question. Since -- since starting work at Brown & Williamson in 1999, from that point forward, when was the first time you gave a scientific presentation outside of the company?",
