question,answer,Declarative_Text
Please state your full name.,My name is James Figlar.
"Okay. What * what ~~ Doctor, I want to talk about some outstanding articles studies of those articles, but what you tell me what you're talking about.","I thought you ~- well, I mean, if you want to show me a particular document, I'd bo happy to VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 Oi o CD cn http://www.veritext.com r c r i look at it, but I -- I thought you were talking about Wynder and Graham's discussion of epidemiology. I know there was a -- I think it was a Hill article in 1950 from Britain, Doll and Hill, I think, if my memory serves me right. That was another epidemiology discussion. If you're talking about mouse skin painting, I'm aware of that as well."
Okay. So you are aware of the mouse skin painting study and article that came out in from Wynder and Graham?,"Uh-huh, yes."
Okay. And are you aware that that article linked cigarette smoking to lung cancer?,"I'm aware that they suggested that in general terms because they believed that they painted cigarette tars on the backs of mice and produced -- were able to produce skin tumors, so tfiat was a suggestion."
Okay. And did that article receive a lot of publicity back in 1953?,"Sure, that one did as well. Uh-huh."
"And following that -- that -- the publicity of that article in 1953, was -- do you know when in relationship to that article was VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 Ol sj o CD Ol ro http://www.veritext.com lyUrWt* . Ei >.i> W M W W H H M i t t . .IMMIIII M * M * W * c c when was the TIRC formed?","I think the TIRC was formed in 1954, so probably a year or so after that article."
And are you aware of the ~~ the Frank Statement to cigarette smokers?,"Yes, I am. (Figlar Exhibit 1, Dooument titled Preliminary Recommendations for Cigarette Manufacturers dated 12/24/53, PT02166, was marked for identification.)"
"Do you have in front of you Exhibit 2166, Doctor, Exhibit 1?",I do.
Okay. And is this one of the documents that you were provided and that you reviewed prior VERITEXT REPORTING COMPANY www.vcrhcxt.com 212-490-3430 Ol GO v| O CD Ol http://www.vcrhcxt.com to your deposition?,I did. And what is this document?
"Okay. And it's dated December 24th, 1953, cjorreot?","It is, yes."
And if you could go to the last page of that document and read into the record who was pjresent at this meeting.,Do you want me to read the titles as well?
"Well, if you could read the last page of the document and tell the jury who was present at the meeting, please?","It says Paul M. Hahn, president, American Tobacco; Joseph F. Cullman, Jr., chairman and president of Benson & Hedges; 0. Parker McComas, President, Philip Morris & Company; J. Whitney Peterson, President, U.S. Tobacco Company; and then there's dots and it says, P. Lorillard Company."
Okay. And do you understand this - - i n this document whether they're discussing the mjaeting -- they're discussing that tho -- they're VBR1TBXT REPORTING COMPANY 212- 79-9424 www.veritexl.com 212-4 90-3430 http://www.veritexl.com discussing the mouse painting study and the publicity that it received? Are you aware of that?,"If my memory serves me, I think they're talking about that and general issues facing the industry with regard to potential associations between cigarette smoking and disease."
"Okay. And can you read the second paragraph of this document into the record for the jury, please.","Certainly. On Page 1? Q, Yes."
"And when they're talking about the whole matter, do you know what matter they're referring to?","Well, I believe they're talking about smoking and health concerns, which they point out in the earlier paragraph in those reports."
"And could you turn to the next --if you cbuld turn to the next page, please, and read VERITEXT REPORTING COMPANY 212*2^9-9424 www.verllext.com 212-490-3430 http://www.verllext.com mm "" i "" i ...** J^**S, C the -- the -- the second paragraph that starts out the situation is one. Can you publish that into the record for the jury, please?","It reads, the situation is one of extreme delicacy. There is much at stake and the industry group, in moving into the field of public relations, needs to exercise great care not to add fuel to the flames."
"Now, again, when they're talking about the situation being one of extreme delicacy, do you khow what situation they're referring to?","Well, I mean, I believe it would be they're talking about the articles that are coming out and the potential links between cigarette smoking and ** and health outcomes"
"Now, if you can go down two more paragraphs to the one, two, three, four ~- fifth paragraph and sixth paragraph which starts with the underlying purpose. In this document, do they discuss the purpose of Hill & Knowlton and the TIRC?","I don't know about TIRC particular, but I believe the purpose of public relations, as I pointed out in the last one, I think they would discuss what that would be. VERITEXT REPORTING COMPANY www.verilext.com 212490-3430 CM o c Ol http://www.verilext.com"
"Okay. Can you read into the ~- into the record those two paragraphs that start with the underlying purpose, please.","Sure. The underlying purpose of any activity at this stage should be reassurance of the public through wider communication of facts to the public It is important that the public recognise the existence of weighty scientific views which hblds there is no proof that cigarette smoking is a cause of lung cancer. In connection with this ~- with the proposed activity, it is impossible to overlook the fact that some of the industry's advertising has come in for serious public oritioism because of emphasis on health aspects of smoking."
"And when they're talking about advertising and the effects of advertising, do you know what they were referring to -- what type of advertisement they were referring to?",Not necessarily. I'm not an
Well,"-- advertising guy. Q, Well, do you know that R. J. Reynolds was using doctors to promote smoking baok at this time period, the '40s and '50s? VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com"
"Okay. So when the when they're talking about the the okay. So the -- the the next part of this document, if you can go to the third page, they're talking about the following recommendations are submitted for consideration by the manufacturers; do you see that?",I do.
"And the Number 2 it says, they want to fbrm a committee called the Tobacco Research Committee; do you see that?",I do.
"And did they actually do that? Did they do that, form a committee called the Tobaooo Research Committee?","I I believe in general they did, yes."
"Okay. And on the next page, on Number 4, it talks about a public statement by cigarette makers; do you see that?",I do.
And so what is the recommendation of P. VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com public statement that was wanting to be made at that time?,Do you want me to read it?
"Yes, sir, if you could.","Okay. It says, the statement should be, (a), distributed wide do you want me to read from the beginning of four or do you want me to rfead from the bullet points? I'm sorry, Counselor"
"Well, it says the the public -- the first public statement should be designed, if you could read that paragraph.","Okay. It says the the first public statement of the committee should be designed to clarify the problem and to reassure the public that, (a), the industry's first and foremost interest is the public health; (b) there is no proof of the claims which link smoking and lung cancer; and (c) the industry is inaugurating a joint plan to deal with the situation. It goes on to say, this statement should be: (a), distributed widely as news, and to employees, stockholders, distributors, tobaooo growers, dealers, suppliers, public officials, national and committee leaders and other groups; (b) placed as an advertisement in leading VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com a c c c newspapers and in leading news magazines."
"Do you think, as the corporate representative for R. J. Reynolds, do you agree that it was well, do you agree that it was important that the interests of public health be first and foremost? A, I mean, I agree that that's what's said here. 1 think it is important, so yeah, I mean, in general I agree.",
"And that was something that they were going to reassure the public that they would do that, right?",
". And then they also wanted to reassure the public that there was no proof of the claims which link smoking and lung cancer, correct?","They -- they they did want that message to get out, yes, that's correct."
"And they wanted people to believe that, right?",
And why would they want the message out there to reassure the public that there was no pjroof?,"Because they didn't believe that the that the science supported a direct link between smoking and disease, and especially in the 1950s there was a lot of question about whether or not that link could be established. So ~-"
And they wanted --,-- they certainly -- they didn't want people to draw that conclusion before -- before it could be looked at more thoroughly.
"Exactly. They didn't want the public to conclude that and they didn't want the public to believe that, right?",
"So if smokers in 1950s did not yet believe VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com that smoking caused lung cancer, that would have been appropriate based upon what you know as the corporate representative of R. J. Reynolds, correct?",
"Okay. And then the next exhibit, Exhibit 2, if you could look at that, please.",Where do I put this? 307?
"Yes, so you have Exhibit 2. Tell the jury what that is, please.",This is A Frank Statement to Cigarette Smokers. This is tho statement that the joint VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com c r i industry sponsors put out publicly.
"And that was ~~ it received a lot of publicity, correct?",I don't know how much publicity it was rboeived. I know it went into a lot of newspapers.
Do you know how many newspapers?,"The exact number, I don't. I think somewhere around 400."
400 newspapers?,"I don't know exactly, but I think if my memory serves, I think the suggestion was it should go out in 400 papers."
And do you know if it was a full page ad in in each newspaper?,I don't.
Do you know if it received publicity on TV as well?,"TV, I don't know if it did or not."
"Okay. And so if you could read the Frank Statement -- the Number 3 to the jury, please.","Which Number 3? Q, On the left-hand column."
And then if you could read the last two VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 m o <D o> http://www.veritext.com paragraphs on the left-hand column.,"It says, we believe the products we make are not injurious to health. We also have and always will cooperate closely with those whose task is to safeguard the public health."
"And -- and, I'm sorry, the - - o n Number 2, if you could read that paragraph on the right-hand cblumn.","Okay. It says, Number 2, for this purpose we are establishing a joint industry group consisting initially of the undersigned. This group will be known as the Tobacco Industry Research Committee."
"So that was when the publio was first advised that the TIRC was being formed, correct?","They were advised, yes."
"And it was at the same time that the public was being informed that there was no proof that cigarette smoking is one of the causes of lung cancer, correct?","Well, they were certainly informed of the industry's position on that matter. They were bfeing informed otherwise from other authorities. 0- But that was the first -- that was at th sjame time that the publio was advised by the VERITEXT REPORTING COMPANY wwwveritext.com 212-490-3430 Oi w http://wwwveritext.com ^twm * *M.III i i r r tobaooo industry that there is no proof that cigarette smoking is one of the causes of lung cancer, correct?"
And in the Frank Statement the cigarette industry told the publio that we accept an interest in people's health as a basic responsibility paramount to every other consideration in our business; do you see that? Did I read that correctly?,"You did, yes."
So you would agree that that would mean to th public that they would they were putting people's health paramount and more important than profits?,
Including making money? VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 Oi o a> Ol http://www.veritext.com wm(hMwl4M*aMt* c c c,It would.
"So at that point, any smoker who was reading this could be assured that there was no -- at least conceivably be assured by the cigarette companies that there was no proof that smoking caused lung cancer, that their health was more important to the cigarette manufacturer than making money would be, and that they were going to form this TIRC, correct?",
What is the Tobacco Institute?,"The Tobacco Institute is an industry advocacy group that was basically split off from this original TIRC in, I think, 1958 or thereabouts."
"And was the - - s o tho TIRC was supposed to VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 JHWMaJWWW* IMIII tn (D O) http://www.veritext.com MHfrMNttpUMNftNMMMMMtftM r c c be doing research, correct?","I think the TIRC as originally formulated was both to not necessarily do research, but to certainly fund research as --"
Okay.,"they stated in the in the in the Frank Statement, but also act as the public voice for the industry at that time. They later broke out the Tobaooo Institute as the advocacy or voice of the industry as I said in 1958 and then kept the CTR as a grant and aid group to continue to do the scientific research,"
Okay. And who funded the CTR and the mhrufO 4. jJLIVV* I,"The assigned assigned members below, if you want me to read them all, but the tobaooo companies, leaf growers and other people involved in the industry."
"Okay, So the TIRC and the CTR were funded by the industry, correct?","That is my understanding, yes."
And the Tobacco Institute was also funded b ^ the industry?,That is my understanding.
"Now, once the Tobaooo Institute was VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 Ol http://www.veritext.com W M M I I M P M M M M W M X I c c r funded was was formed, were they making statements to the public about the health hazards of smoking?","I think after the TIRC was formed in the 1950s there were there were some statements made. There were obviously news programs. It was a news item. And so the TIRC was contacted and I think mostly the chairman, I think it was Dr. Little, made a number of statements, but I believe others did as well."
"Okay. And the Tobacco Institute, as well, they would also make public statements, oorreot? A, Again, once the Tobaooo Institute was formed and broken off from the TIRC they would, yds. Q, And the purpose of these public statements was to inform the public, oorreot?","Sure. Yes. Q, And you wanted people to believe them, rjlght?"
"You wanted people to be able to read -- r^ad the position of the tobacco industry, take it seriously and oonsider it to be credible information, right?","I would say in general, yeah, that would H true. The Tobacco Institute spoke for the industry. The industry had its views that were bjtsed in the way they viewed the scienoe, and so, y^ah, they would want those views considered by those who heard them as one of the sets of information that people would get to be informed on VERITEXT REPORTING COMPANY 212-2^9-9424 www.veritext.com 212-490-3430 http://www.veritext.com issues."
"You wanted people to be informed on accurate, honest information, correct, not lies?","Correot. (Figlar Exhibit 3, Newspaper article titled Richards Calls 'Digest' Cigaret Article 'Unfair' dated 6/30/58, PT04900, was marked for identification.)"
And do you know who Richard Mr. Richards is?,"I well, it says right here on the front. It says the president of Tobaooo Institute."
"Okay. And when you were reading this document in preparation of your deposition, did you familiarize yourself with who Mr. James P. Richards was?","No, not necessarily."
"Okay. But as a person today sitting hero VERITEXT REPORTING COMPANY www.vcritext.com 212-490-3430 CD o http://www.vcritext.com with the most knowledge from R. J. Reynolds Tobacco Company, do you have an understanding that Mr. James P. Richards was the president of the Tobacco Institute in 1958?","I have no reason to dispute it, it's written right here in the article."
"Okay. And you can go to the second paragraph and read the quote from Mr. Richards into the record, please.",Sure. Starting with the implications?
"The second paragraph, sir.","Okay. It says, the cigarette industry has not ohangod its nind. Our position was and is based on the fact that scientific evidence does not support the theory that there is anything in cigarette smoke known to cause human lung cancer."
"And, again, that's something that you wanted the public to be able to read and believe, correct?",' res.
"And if you could read the next -- the next two paragraphs, please.","It says ""the implications of this piece,"" Mr. Richards said, ""are most unfair to the tobacco industry and to the general public."" ""The Tobacco VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com Institute"
"And I'm sorry, I don't I don't mean to interrupt you. The piece that he's talking about, he's responding to an artiole that says smoking does cause lung cancer, correct?",They're talking about a - I believe it says a Digest -* the a Digest artiole?
A Reader's Digest?,"I don't know -- it doesn't say Reader's Digest, but it says Digest. Oh, it is Reader's Digest. I'm sorry. It says the Cigarette Industry Changes Its Mind was the name of the article. So they're talking about a Reader's Digest artiole."
"Right. What Mr. Richards is saying in that next paragraph is the implications of the pieoe, the article, are most unfair to the tobacco industry and to the general publio, oorreot?",Correct.
"So being fair to the general public is important; you would agree with that, correct?","It would, yes."
"Being fa ir and honest would be important, not only for Reader's Digest, but also for the tobacco industry, correct? VERITEXT REPORTING COMPANY 212*279-9424 www.veritext.com 212-490-3430 http://www.veritext.com",Certainly.
And if you could read the next paragraph.,"It says ""the Tobaooo Institute, Mr. Richards continued, ""believes that the health o\t people is more important than dividends for any i industry. We are equally convinced that the American people believe in fair play for an industry that historically began and grew with the life of our country, all the while providing work f|or, and contributing to the contentment of, millions."""
"And then trust and fair play should also be important for your consumers as well, correct?",Certainly.
"And where it says the -- the industry the Tobacco Institute believes the health of the pjeople is more important than dividends, that would ba important not only in 1958, but also 1968, 1978, 1988, 1998, that the publio health be more important than dividends; would you agree with t^at?","I would, yes,"
And if the tobaooo industry put dividends or profits over public health you would agree that would be wrong? VERITEXT REPORTING COMPANY 212-279-9424 www.veritcxt.com 212-490-3430 http://www.veritcxt.com,"I "" I ***** I think in a general sense I wbuld, yes."
"And so people reading this artiole, it wbuld be reasonable for them to believe that the tobaooo industry was being fair and forthright with them as well, correct?",
"And so we can go to the next document and that's a 19 - it's a 19 -- it's Exhibit -- what is this, Exhibit 4, oorreot?","It is, 1563."
"1563, correct, and this is a February 5th, 1958, letter from American Tobacco, correct?",
"And who is Mr. Hill, by the way?",I don't know personally. I believe it was probably the somebody at Hill & Knowlton. I dkm't know if it's the founder or not. I'm not all that familiar with Hill & Knowlton's history.
"Well, Dr. Figlar, when you wore preparing VERITEXT REPORTING COMPANY 212479-9424 www.veritext.com 212-490-3430 http://www.veritext.com i ii > IIIIHIUMM HHiWH> wHMpmi (* c f^ fbr the deposition and you and you were being -** understanding that you were going to be asked these j questions about these documents, and we gave these documents to you 30 days in advance, knowing that you were the corporate rep with the most knowledge, did you think it might be important to look into who these people were? There was only about documents that we gave you to review.",
"No, but did you like ask the lawyers, hey, b^ the way, who is John Hill or you didn't you didn't think it would be important?",
"In any event, do you know who Mr. Hahn is?",I believe he was the president of American Tobacco at the time.
"Okay. So Mr. Hahn wrote a letter to VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 Ol o (O oo oo http://www.veritext.com c c c Mr. Hill, correct, on February 5th, 1958?","That is this document, yes."
"And part of the document Mr. Hahn is discussing is what are the major -'- what are the major area of activity and major objectives of the Tobacco Institute, correct?","I think in general that is correct, yes."
"And the Tobacco Institute, again, you you've already told us they were being portrayed to t^e public as a honest and forthright organization, cbrreot?","Yes, I can. In my opinion, the institute's major area of activity and major objective should be to defend the industry against attacks from whatsoever source on tobacco as an -- as an alleged health hazard, including efforts to impore labeling requirements on tob&ooo products VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 Ol NI o http://www.veritext.com mVkmmmwmmmmmmWmmmmm*' i\wium*m*H****mmmummm r c c i based directly or indirectly on the charge that tobacco is a hazard to health."
"Okay. So the -- was the public ever advised in any public statement that that was the objective of the tobacco industry -- of the Tobacco institute, to defend the industry against attacks from whatsoever source on tobacco as an alleged health hazard?","Were they - are you asking me if they were informed of the objectives? I think it was -- you know, I don't know if they were informed in that way and said, these are the objectives of the Tobacco Institute, but I mean I think it's been pretty clear that the statements made by the Tobacco institute and their actions would support what this statement is, which is they put out what the companies' positions were on the science and certainly disseminated them. Q, You're saying the company's position, wouldn't it be important to put out what the -- what the belief and -- what the belief was, not just the position, but the belief of the company?"
"And that's what they wanted the publio to believe, that there was not scientific evidence to sjupport the cause and effect of smoking and lung cancer, correct?",
"And then if you could read the next paragraph, what is the Institute's position -- strike that. By the way, so Mr. Hahn is the president of American Tobacco, oorreot?","I believe that's correct, yes."
"And in his letter he's setting forth Number 2, what is the Institute's position on health charges against tobacco use, oorreot?","That is Bullet Point Number 2, yes."
And what does the president of American Tobacco indicate that the view should be? VERITEXT REPORTING COMPANY www.veritext.coni 212-490-3430 H#MVr4imllMe***iJM Ol o CD NJ http://www.veritext.coni,"He -- he says in here, broadly speaking, it is my view that the Institute's position on the health charges against tobacco should be that in the present state of scientific evidence these charges are unfounded. (This is elaborated in the answers to the later questions -- I'm sorry. I didn't mean to overtalk you."
"If you could go -- and if you could go to Page Number 4, please.",Certainly. Okay.
"And if you could read Number 6 as well, please.","Number 6, should the Institute have a policy regarding moderation and smoking for responding to requests on this matter? It says, in my view the polioy of the Institute regarding qjueries as to moderation and smoking should be that w* believe that smoking is not harmful to normal individuals; that overindulgence and excess in anything may be harmful; that what is overindulgence or excess varies with the particular individual, who should be guided by the advice of"
"And at that time were there any warnings oh cigarette packages at that time that smoking was 212-^79-9424 www.veritext.com 212-490-3430 http://www.veritext.com WIIWtHilHiii I intmWHIII'm J0""***. C j0""*^\: c harmful or smoking caused lung cancer?","Not in 1958, no. Q, And what was the industry's position on labeling at that time, if you could read Number 7."
You can read the number and the answer.,"Okay. What is the Institute's position on such specific matters as labeling contents of cigarettes, putting on warning labels, adding punitive taxes to discourage consumption? Matters such as labeling contents of cigarettes, putting on warning labels, adding punitive taxes to discourage consumption all arise out of the charges that tobacco is a health hazard. Th Institute's position on all such matters should be that it has not been proved that tobacco is a health hazard; that it that its use is a universal pleasure and relaxation; that many hundreds of thousands of people depend on it for their livelihood; and that any step in the direction of discouraging the consumption of tobacco is unjustified and harmful."
"Okay. Now, remember we talked about the VERITEXT REPORTING COMPANY www.vcritext.com 212-490-3430 ""si o CD o http://www.vcritext.com Prank Statement earlier where they said that the ~ the -- it was -- people's health was a basic responsibility and paramount to every other consideration of our business; do you remember that?",I do.
"And so in this letter from Mr. Hahn to Mr. Hill where he's discussing the objectives of the Tobacco Institute, where in that letter does he tfrlk about saving lives and health of the smokers being paramount?",I don't believe that that necessarily is discussed.
"And when he's talking about in the letter when he's talking about many hundreds of thousands of people depend on it for their livelihood, where does he discuss the hundreds of thousands of people that were getting sick and d^ing?",
"Sir, is that what you're you're telling the jury under oath, as the corporate representative from R. J. Reynolds, that Rj. J. Reynolds and the industry did not believe at that time that smoking caused lung cancer; is that what you're telling us?",
Okay. Then let's go to the next document. T^e next document is Exhibit -- what exhibit is it?,"Sorry, hold on. 3289."
"This is Exhibit 5, 3289, oorreot?",I don't have a 5. It just says PT03289.
Okay. And this is Exhibit 5. It's going tjo be marked as Exhibit 5 to your deposition.,BAT is British American Tobacco.
"And British American Tobacco had several meetings with with the American Tobaooo industry, did they not?",They may have.
"Well, you're aware of this document. You reviewed this document in preparation for your deposition, correct?","I have, yes. Q, And it talks about meetings that occurred between April 17th, 1958, and May 12th, 1958, obrroot?"
"And if you could look at the second page, they outline the different meetings that they had, correct?","There is a list, yes."
"And on April 17th there was a meeting with American Tobacco Company in Richmond with a M^. Harrer, a Mr. Harlan --Dr. Harlan and a Mjc. Harlow, correct? VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 %i o http://www.veritext.com c c",YAM
"On April 17th [sic] there was a meeting with Liggett & Myers, correct?","I'm sorry, what date? Q, April 23rd, if you'll just go down the list, do you see April 23rd?"
"A meeting and then on April 24th they had a! meeting with Philip Morris, oorreot?","That's what's listed on the itinerary, yes. Q, On April 28th they had a meeting with the TIRC in New York where they met with a Mr. Hoyt, a Mr. Thompson from Hill & Knowlton; do you see that?"
"And then on May 5th they met with the industry industry technical committee of the TfcRC in Richmond which was a Mr. Hanmer Hanmer, Chairman, Mr. Hoyt and a Dr. Hockett, correct?","I see that, yes."
"And then on May 8th they had a meeting with the TIRC in New York where they met with Dlr. Little and Dr. Hockett, correct?",I do.
"And then on May 10th, again they met with VERITEXT REPORTING COMPANY www,veritext.com 212-490-3430 Ol o oo the TIRC, the Scientific Advisory Board of the TIRC, correct?",That is what's listed.
"And on the next page it says from our contaots in the U.S.A. and Canada, we sought information on the extent to which it is accepted that cigarette smoke ""causes"" lung cancer; do you sjee that?","Yes, I do."
"And under -- and if you go down to the ""causation"" of lung cancer, if you could read that first sentence into the record, please.","With one exception (H.S.N. Greene) the individuals whom we met believe that smoking causes lung cancer if by ""causation"" we mean any chain of vents which leads finally to lung oanoer and which involves smoking as an indispensable link."
"Did the TI, TIRC or CTR publicly make a statement in 1958 that they believed there was an indispensable link between smoking and lung cancer?","Not -- not to my knowledge, no."
"And if you could go to the next page and road the first sentence into the record, please.","Otherwise, we found general acceptance of the view that the most likely means of causation is VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 mmmnmM'Ai^+*mn* Ol si o Ol http://www.veritext.com c r r that tobaooo smoke contains carcinogenic substances present in sufficient quantities to provide lung cancer when acting for a long time in a sensitive individual."
"And if you can go down and read into the record under carcinogenicity of smoke and animals ahd read that first sentence to the record, please.",No possible doubt now remains that Winder's results using mouse skin painting are entirely genuine -- the whole paragraph or just that?
And following that,Sorry.
"You can read that and then I want to go -- so at that time in 1958, did the TI and the TIRC, the CTR or R. J. Reynolds for that matter, Brown & Williamson or American Tobacco, publicly take out a press release or a press conference where they advised the American publio that most likely means of causation is that tobacco smoke contains carcinogenic substances present in sufficient i quantity to provide lung cancer? Did you -- did y^u publicly state that to the to the people who were smoking your product?","Not that I'm aware of, no. VERITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 Ol SI ' o CD O) http://www.veritext.com"
"And then in in the -- on the Page 5, if you can read into the record you know who Liggett & Myers is, by the way, correct?",They're another tobacco company.
"And they did not join with R. J. Reynolds ahd Brown & Williamson and American Tobaooo and Philip Morris with the TIRC originally, correct?",I don't think so.
"And that was because they doubted the sincerity and the motives of the TIRC, oorreot?",
"Okay. Well, read that paragraph -- the first --if you could read the first one, two, three sentences of that paragraph into the reoord.","Liggett 6 Myers stayed out of the TIRC originally because they doubted the sincerity of TtlRC motives and believed that the organization was tbo unwieldy to work efficiently. They remained convinced that their misgivings were justified. In their opinion TIRC has done little, if anything, constructive, the constantly reiterated ""not proven"" statements in the fao of mounting contrary VERITEXT REPORTING COMPANY 212-279-9424 www.vcritext.com 212-490-3430 http://www.vcritext.com ii I mini c c evidence has thoroughly discredited TIRC, and the SAB of TIRC is supporting almost without exception projects which are not related directly to smoking and lung cancer."
Okay. Was the TIRC funding projects not related to -- directly related to smoking and lung cancer?,Were they not or were they? What -- what was your question?
"Are you aware of the fact that that's what the TIRC was doing, they were funding projects not directly related to smoking and lung cancer?","I don't think that is entirely true, no, TJhey were certainly funding an awful lot of research; some was directly related to cigarette smoking and disease, so I can't agree with that."
"Okay. So you disagree with that. You think it's not entirely true, but partially true?","I think -- I think they funded an awful lot of research; some was directly related to cigarette smoking and potential health effects, so can't agree with that statement, no."
"In 1964 the TIRC changed its name to the cbrR, correct?","I believe that's correct, yes. VERITEXT REPORTING COMPANY www.verltext.com 212-490-3430 Oi si http://www.verltext.com i i mniii utmiM i lMHli*Ma>M|l c c"
"And over the next 30 years there were many statements made and press releases over the years regarding smoking and cancer, oorreot?",By CTR or by *
"By CTR, by the Tobacco - - b y the Tobaooo Institute, oorreot?","By Tobaooo Institute, yes. Q, On behalf of the industry, oorreot?"
"And the next exhibit, Exhibit 6 is PtT02513.",Hold on one second. Yes.
And who is George Allen?,"He was at one point the president of Tbbacco Institute. Q, And what was the reason for this type of statement?"
And what is the reason for a press release; do you know?,"Well, to hopefully get the presrs to pick VERITEXT REPORTING COMPANY www.veritexl.com 212-490-3430 Oi si O CD CD http://www.veritexl.com m<*...M..*iMtmll^iMMwhfrdMfrw** w m M * * w i i i i i M k w # n i i H a i M H . M v M H V M M l l a Im minimum > n mi* y^""""*s r up the statement so that they might put it in the paper or whatever news they're reporting on."
"Right. So the public could hear it and read it and believe it, correct? MR, LATHAM: Object to the form.",
Okay. And if you can go to the last pjaragraph and read the first two sentences into the r je cord.,The last paragraph of the whole document?
"Of the first page, I'm sorry.","Okay. It -- it says, if there is something in tobaooo that is causally related to o|anoer or any other disease, the tobacco industry wjants to find out what it is, and the sooner the b|tter."
And the next sentence.,"Oh, I'm sorry, if there's something in tjobacco or in smoke, I am sure this can be remedied b^ the scientists."
