question,answer,Declarative_Text
"Miss Bonhomme, good morning.","Good morning, Mr. Bigger."
"And when I say ""you,"" I mean Philip Morris is taking the position that Mr. Greenwald as a research director was not a senior official in the company?","Oh, I interpreted senior official as a j; vice-president or senior executive of the company that ji made broad decisions on behalf of the company. I mean, j research director certainly is a job with significant j responsibility in the company. I don't know exactly I how to -- how you're determining the difference between i levels. But it's not a vice-president position, and it's not an officer of the company in terms of making significant broad decisions on behalf of the company."
"Well, you indicated to me earlier, and I haven't seen the letter but that Ms. Dickey's letter was to the company, to Philip Morris?","I believe, yes."
"And on behalf of Philip Morris, Mr. Greenwald writes this response to Miss Dickey?",
Is that correct?,"Well, he responded to her. I don't know if it was on behalf of Philip Morris as a global statement on the company's position or if he was interjecting some personal opinions in the letter. I don't know."
"Well, as the spokesperson of Philip Morris, you know, I would like to know what the company's 0 position is. Was Mr. Greenwald speaking on behalf of the company here, or was he sort of doing this rogue on his own?",
"And I want to ask you about this letter and whether this was done by Mr. Greenwald, sort of the phrase comes to mind for me sua sponte, but that's obviously, you know, a legal phrase. Was this done by Mr. Strike everything before that. Was this done by Mr. Greenwald on his own, or was this done at the direction of the company?",
"And by ""was,"" I mean this letter that Mr. Greenwald wrote to Miss Gladys Dickey.","I wouldn't know the answer to that. I mean, it's on company letterhead. He signed it with his title, so he was writing the letter as an individual who worked for the company. But I guess for me, I try to put this letter into context of what the company's practice was at that time. And that's why I looked to find the letter that was sent into the company, and then I looked to understand were there other responses sent to consumers when they suggested ideas on behalf from the company, from other individuals. And I found that there were."
"At this same time period in the 1950s? A Q A Q Prior. I Prior to the 1950s? Prior. Prior. And the letters that were written to other individuals who'd also corresponded with Philip Morris, did you bring copies of those letters with you today?","I I don't have them, but I believe my j: attorney has them. :|"
Okay. And are those similar documents that were produced previously?,I didn't. j
"Okay. His final point there is that, if young people are going to smoke, essentially we should teach them to smoke in moderation and not to overindulge.","I see that point, yes."
"And that was, again, part of his response on ; behalf of the company to Ms. Dickey in Encino, California Valentine's Day 1952?",Yes. j
"Who was Johnny, Jr.?","Johnny, Jr. was an individual who was hired I by the company to be a representative for the Philip Morris brand. And he had worked in the company for a I number of years and was known for the ""Call For Philip i Morris"" slogan."
I'm not going to ask you to do it.,"Good. as he did dressed know, man I don't think any of us could do it as well I Good. But he had that kind of signature he ike a bellman or like a Like -- Well, he was a page. ;"
"I guess I could do that. Well, we'll have the actual thing for the jury, but we don't have it here today. Unfortunately, I don't have a very multimedia presentation. But this was a television commercial?","He was -- he was mostly in print ad, but he there was radio commercials. And I'm not sure if there were television commercials. I would have to look back through company records to see that."
"Yeah. And, I mean, you know, television was just sort of coming of age in the 1950s?",Right.
Do you remember one of the shows that Philip Morris sponsored in the 1950s?,The Philip Morris brand or the Philip Morris company?
"That's a good question. I believe it was 0 the Philip Morris brand, but that's owned by Philip Morris company, right?",The Philip Morris brand is owned by the Philip Morris company. 4 Q. Do you remember a time period when they sponsored I Love Lucy?
"And, I mean, the 1950s was sort of a time when rather than what we have today with these, you know, commercials of a bunch of different brands being advertised, oftentimes there would be a sponsor who would be the sponsor for the show who'd get like a little dedicated time at the end or at the beginning?","Sometimes, yes."
"Um-hum. And you don't recall or are you familiar with the fact that Johnny, Jr. was utilized in some of those I Love Lucy episodes when they aired on television?","Johnny, not Johnny, Jr. Johnny, Jr. is a little bit different from Johnny."
"Okay. And you know, it's a good point. Why don't you explain the distinction just so that's clear?","Well, Johnny was the individual who had this perfect pitch in yelling ""Call For Philip Morris."" And then the company had some other individuals who were likened to Johnny, Jr. who may be used in the different manner at an event or a retail store in terms of promoting the Philip Morris brand. 4 Q. Johnny couldn't be everywhere at one time, so they had to get kind of doubles, if you will?"
"Okay. All right. Well, let's look at a couple documents talking about the Johnny, Jr. promotional campaigns. Let's see. This is PT1189. (Defendant's No. PT1189 for i.d.)",
"And you can if you want to slide that one over here, that PT6142, we can keep a record copy of that in order so we've got it.",Okay. j
"So your attorney has handed you a copy of what we've marked as PT1189. And you can see this is a Philip Morris inter-office correspondence, correct?",Yes. j
"And the date is November 23rd, 1953?","That's correct, yes."
"The letter was written or this correspondence was written from a J.A. Mallon to a Mr. Ray Jones, vice-president.",Yes. ;
"Subject is Johnny, Jr. operation?",That's right. \
"So just reading the letter, ""Our general overall plan has been in the past to book as many possible store sale locations for Johnny, Jr. through each divisional territory, bearing in mind that during the week, we would try to take care of rural sections coming into the more thoroughly populated areas for heavier store sales towards the end of the week."" Did I read that correctly?","Yes. Yes, you did."
"All right. And then, ""Instructions have always been that no veterans or service hospitals were to be bypassed. And it has also been made clear that every military installation is to be contacted. ""We have also tried to route "" excuse me "" route Johnny, Jr.'s movements so that he would make appearances at local affairs, such as county fairs, historical celebrations, et cetera."" Did I read that correctly?",Yes.
"""We have been running many store promotions, and it might be well in the future to have Johnny, Jr. scheduled to present various prizes, such as Lucy 0 dolls, et cetera, that might be used in these promotions."" 2 Did I read that correctly?","Yes. 4 Q. Okay. ""The above, plus the fact that we get 5 newspaper publicity, plus radio interviews pretty much www.phippsreporti.ng. com http://www.phippsreporti.ng sums up Johnny, Jr.'s activities in the past."" And then signed by a Mr. J.A. Mallon?"
"So this is sort of summarizing some promotional activities. They were using Johnny, Jr. for taking him around to county fairs, military installations, veteran's hospitals as described in the letter, correct?","It's describing taking the Johnny, Jrs. Going around, yes, not Johnny."
Right.,Not the spokesperson we spoke about necessarily.
Right. Now,"These were these were Johnny, Jr. copies."
Right. Like the doubles we talked about?,Yes.
"They dressed the same. They were intended to, you know, be like the Johnny that people saw on TV 0 or heard on the radio?","Yes. 2 Q. All right. And among the things they talk about are having him, you know, scheduled for store 4 promotions, correct?"
"And as part of the store promotions, they suggested that it be great to have him have prizes to hand out like Lucy dolls, right?","That was this, yes."
"And like we talked about, one of the shows that Philip Morris sponsored was I Love Lucy?",Yes.
"And so the Lucy dolls is referring to a Lucille Ball, a Lucy doll?",That's correct.
"Who do you think that Johnny, Jr. would hand out those Lucy dolls to?","He would hand them out to parents, probably to mothers because at this time there would be children with parents, so he probably would hand it out to the parents for them to hand to their child."
"Urn-hum. I, mean, yeah, it wasn't for like grown men or it wasn't really for a typical adult; is that fair?","No, a doll would be for a child."
Yeah. (Defendant's Exhibit No. PT5030 for i.d.),Thank you. |:
"And your attorney has handed you what we previously marked PT5030, 5030, another Philip Morris inter-office correspondence, correct?",Yes. \
This is from Jack Porterfield to a Mr. J.E. Gallagher?,Yes. \
"And this is dated December 19th, 1953. So a couple weeks after that last letter we looked at, which was November excuse me November 23rd, 1953?",Yes. \
"So this is a few weeks later. Subject also Johnny, Jr. operation?",Yes.
Is that correct?,Yes. ;
"And so this is looking at some scheduling for the State of Arkansas, promotional activities within the State of Arkansas?","Yes. It appears that way. There's Little I Rock, Arkansas at the top. :"
For the office?,Y e s .
"Right. And then that top sentence says, ""As far as I can recommend on the future arranging of schedules for Johnny, Jr. in the State of Arkansas would be:"" And then there's a list one, two, three, four?",Y e s .
"Okay. Looking at number three, the number three item they have there says, ""I think that in every case so far that it was proven that newspaper and radio publicity are a must..."" underline ""...with his appearance."" Do you see that?",I do.
"Recognizing that there was an importance to getting newspaper and radio publicity with this appearance by Johnny, Jr. in these various places?",
Is that a fair characterization?,"Well, I think in this letter this is a recommendation and where Mr. Porterfield is saying that I think that it's important to have publicity about Johnny, Jr.'s appearance. Right. To maximize his appearance, if you 1 Q- will?"
"Um-hum. And then number four there, he's recommending that, ""I think a tie-in with a leading department store in the larger towns would be a good publicity stunt for Johnny,"" correct?","That's what he that's what he that's what he thinks, yes, correct."
"""This may be would not sell cigarettes on the spot, but it would create Philip Morris in the minds of our future smokers."" Did I read that correctly?","Yes, you did."
"""This would be a good gimmick to get women and children into the department stores, and in return they would give Philip Morris good publicity in the area. I understand from Johnny, Jr., Gus Wayne, that 0 the idea of candy Philip Morris 4s for children has already been mentioned. 2 ""Very truly yours, Jack Porterfield?"" Did I read that correctly?","Yes, you did. 5 Q. So this is Mr. Porterfield who is working with Johnny, Jr., and he's acknowledging that, you know, these publicity stunts are important recommendations, at least in his opinion?"
"Well, do you know who Jack Porterfield was?",I understand he was in the sales organization.
"He was a salesman working for Philip Morris, right?","Yes, he was."
"And so he said that, you know, this leading department store tie-in would be a good publicity stunt for Johnny, right?","That's what he thinks, yes."
"And he says, This wouldn't sell cigarettes on the spot or I guess maybe would not sell cigarettes on the spot, but it would create Philip 0 Morris in the minds of our future smokers. That's what it says, right?",
"Yeah. Someone advertising or a marketing standpoint, what does that mean when you try to create your brand in the mind of your future consumer?",
"Well, and I don't want to speculate. We've talked about this before, and I haven't gone through your qualifications. But you've got a you've had a lengthy career in marketing?",Yes.
And specifically working for Philip Morris?,Yes.
"Based on, you know, your experience in marketing and as the designee here to talk about, you know, marketing subjects, what does that mean when you're trying to create a brand in the mind of your 0 future consumer?",Sure.
"Sure, right?","On a personal level, yes."
Yes.,"Am I familiar with the idea of building awareness for a brand, yes."
And that's what he's referring to here is sort of build the awareness or the buzz about Philip Morris in the minds of our future smokers?,
"And the event is about the brand? I mean, the reason they're having the event is to promote the brand, right?","Yeah, but he uses the word ""publicity"" if we go back to this statement. ""I think in every case so i far that it was proven that newspaper and radio \ publicity are a must with his appearance."" So it seems as though he' s talking about j: publicity to have people come to the location so that j; Johnny, Jr. has an audience. ;"
"Yeah. In fact, he talks about that a little more in that next sentence. He says, ""This would be a good gimmick to get women and children into the department stores. And in return, they would give Philip Morris good publicity in the area."" Right?","Yes. So he's saying if we advertise on i radio, in the newspaper that Johnny's going to be at l the store, people will come, and that will give the brand good publicity."
"Not just people, women and children.","Well, he wants the adults. He's, I mean ;"
"Well, he says women and children, right?",He does.
"And then he talks about Gus Wayne, and Gus Wayne was the Johnny, he was the guy, right?","Gus Wayne was a Johnny, Jr. Gus Wayne I wasn't the Johnny."
"Well, who was the Johnny?","The famous Johnny, I don't recall his name i off the top of my head. But it wasn't Gus Wayne. ji"
You're sure it wasn't Gus Wayne?,That's my understanding it was not j: Gus Wayne . j;
"And what well, how did you get that understanding?",From other documents that I had read a ji number of years ago. \
"Okay. Those documents, you don't have those with you today?",No. \
"But you have some understanding that you believe Gus Wayne wasn't the real, if you call him real Johnny?","He wasn't the prime Johnny, the official i Johnny. He was a Johnny, Jr. :"
"Was he like number two Johnny, Jr.?",
Okay.,I think there was Johnny and then there was ; everybody else.
"Johnny and everybody else. Okay. Well, was Johnny's name Johnny like the real Johnny? Was that his name?",
"Okay. Well, you don't have to give me a hard time just because I don't know that. You know, you can just tell me.",
"So, anyways, I understand from Johnny, Jr., Gus Wayne and are there was there multiple Johnny, Jrs.?","My understanding, there were multiple ; Johnny, Jrs . jj"
"One of the main ones, though, was Gus Wayne?",
"Let me ask you this way. Have you seen other Johnny, Jrs. mentioned by name in other documents?",I've not looked for that. So they may very I well be. I don't know. I
But you haven't seen it?,"No, I've not seen it."
"Okay. And Johnny, Jr., Gus Wayne, says the idea of candy Philip Morris 4s for children has already been mentioned. So when they say Philip Morris's 4s, what they mean is like a little, Philip Morris had samples of Philip Morris brand cigarettes that came in like four-packs, right, with four cigarettes?",Yes.
"And that's what they called Philip Morris 4s because they'd use those to sample, you know, adults or in the military if they put them in sea rations or whatever it might be?",
"And when he's referring to Philip Morris 4s, all I'm trying to establish is that's a like a smaller pack; it doesn't have 20 cigarettes in it; it had four cigarettes in it?","That's correct. 0 Q. Okay. And so he's saying candy Philip Morris 4s, so the same size, same pack but candy cigarettes to hand out to the children?"
"Let me hand you what we've marked as PT2214. Your attorney has handed you what we previously marked PT2214, which is a letter from J.E. Gallagher, who, I believe, was the recipient of the last one we looked at. 7 A. Yes.",
"And if you want to refer if you need to refer to that, it's right here.",I recall that. j
"Jack Porterfield wrote his letter December 19th, 1953, PT5030, he wrote that letter to J.E. Gallagher, right?",Yes. I
"Okay. And so now we have Mr. J.E. Gallagher I about, what is that, five days later, December 24th, 1953, five days later. And he's writing to Mr. Ray Jones. 19 A. Yes, that's correct. 0 Q. And this is, again, Philip Morris inter-office correspondence? 2 2 A. Yes.",
"Same subjects we've seen on the last two 4 documents, Johnny, Jr.'s operation? 5 A. Yes. f",
"Mr. Gallagher in this letter to Mr. Jones writes as follows: ""Thank you for your letter of November 19th wherein you state you would appreciate receiving any advises (sic) and recommendations regarding Johnny, Jr.'s work plan in the past and any suggestions we may have for the future. Personally, I think our work plan to date has been very satisfactory and believe we should continue to keep Johnny, Jr. working in rural areas. If possible, it would be better to give him Monday off and work Saturday because in rural areas, the townspeople congregate around the courthouse. And this presents an excellent opportunity to win their favor by sampling them and selling them Philip Morris."" Did I read that correctly?","Yes, you did."
"Okay. So just to break this down into a couple of chunks, Mr. Gallagher is now writing to Mr. Ray Jones. Do you know who Mr. Jones was?",From the other memo you see he's the vice-president of sales.
Vice-president of sales. Right?,"Yes. 4 Q. So Mr. Gallagher is writing to the VP of sales, and he's saying, thank you for your letter of November 19th where you essentially asked for, give us some ideas or recommendations regarding Johnny, Jr., right?"
"And so Mr. Gallagher says, ""I think our plan to date has been very satisfactory, and we should continue working Johnny in these rural areas.""",That's correct.
"And one suggestion he has here is to let him have Monday off and work Saturday. Do you understand I mean, obviously the implication was that he was working Monday through Friday previously.",Yes.
And so they say let's let him have Monday off and have him work Tuesday through Saturday?,That's correct.
"And the reasoning is because in rural areas on Saturday, townspeople congregate around the courthouse? 0 A. That's correct.",
"And this is probably a concept that is, you 2 know, maybe still happening today but not nearly as much where people would just kind of gather around the 4 courthouse which usually was in the center of the 5 county's rural towns?",
In these rural towns.,
"Urn-hum. Right. And it said, ""This presents an excellent opportunity to win their favor by sampling them and selling them Philip Morris.""","That's what it says, yes."
"And we were just talking about that a second ago. So typically when they would sample, with sampling practices, they would have those little 4s that had four cigarettes in there?",
"I mean, are there what was more common at least at that time in the 1950s when they would sample, those 4s, or would they actually give out entire, you know, full 20-cigarette packs of Philip Morris?",
Okay. That's not something that you studied or made an effort to ascertain Philip Morris's knowledge on for today's deposition?,"Yeah, not specifically the size of samples, quantity of samples, things of that nature. I don't even know if that data would be available."
"Well, when you were in the marketing department at Philip Morris for a number of years, 0 would ya'll do sampling?","There was some sampling done during some of the time frame when I was an employee, but the company stopped sampling in the '90s. In fact, in '95 they made a firm policy that there would be no more sampling."
"The sampling that was done that you're familiar with before that '95 decision you just referred to, was it done with 4s or whole packs, 20-cigarette packs? How was the sampling done?","Yeah, I don't recall the details of how it was done. I mean, sometimes I know there were smaller packs of cigarettes, but I don't recall how many cigarettes were in them."
"Okay. Well, you're familiar with the practice of using those 4s like we saw in that other document for sampling?",At times 4s have been used for sampling. I'm not familiar with the practice of whether that was infrequent or frequently or the extent to which larger a sample product was provided.
"Okay. So sometimes it was 4s; sometimes it could have been a larger sample. You're just not sure of the frequency or how often, which one was used?","That's correct. 0 Q. But, in any event, sampling was giving out free cigarettes?"
"Okay. Here they're talking about having 4 Johnny, Jr. go to the courthouse on Saturday where the 5 people have congregated and giving them free Philip Morris cigarettes?",
"And then the it says, ""Attached you will find suggestions and remarks from the division managers and supervisors that work with Johnny, Jr. in this section."" Have you seen that attachment?",I've seen the attachment you have here.
"Yeah, right. But have you seen the other, the other attachment that says, suggestions and remarks from division managers, supervisors that work with Johnny, Jr. in this section?",No. \
"It looks I mean, what I'm saying is it looks like there were a couple of attachments.","Yeah. No, I've not seen. ;"
You haven't seen that other one?,"Not beyond this, no."
Okay. And I hadn't either. I was just seeing if it was something that you had seen that I had missed or if it,No.
it's just lost for the past few times.,"Yeah, no."
"Okay. It says, ""You will also find a letter from Gus Wayne wherein he suggests that we make up some Philip Morris chocolate cigarettes to give to children,"" correct?",Yes.
"And that's the attachment that we do have that is attached to the back, which we'll refer to in just a moment here, correct?",Yes.
"""In my opinion, this is an excellent suggestion. It is hoped that this information will be of some help to you in planning Johnny, Jr.'s work in the future. ""Signed, yours very truly, J.E. Gallagher."" 0 Right?",Yes.
"Okay. And so we have attached to the back of this a handwritten letter, same letterhead, Philip 4 Morris inter-office correspondence dated December 6th, 1953?",Yes. j
"And this is a letter from Gus Wayne who's a Johnny, Jr.?",Yes. \
"To Mr. J.E. Gallagher, subject being sales promotion?",Yes. \
"Okay. And so Johnny, Jr., Gus Wayne writes, ""Dear, Mr. Gallagher, As you suggested, I'm submitting my idea for which I feel will stimulate sales of Philip Morris. ""In my travels, I've noticed that ""Johnny,"" is more readily recognized by the children than the adults. Children being very impressionable, remembering things they see and hear long after they've i; occurred. ""Here now I further feel based on my observations that the Philip Morris trademark, ""Johnny,"" has fallen into the same category as Hopalong Cassidy, Howdy Doody, et cetera."" Did I read that correctly?","Yes, you did. i"
All right. And so this is 1953. Hopalong Cassidy and Howdy Doody were popular television figures?,Yes. j
Cowboys?,"I don't I don't know. Hopalong Cassidy, ji yes . Howdy Doody? jj"
"Well, Hopalong Cassidy and Howdy Doody were do you understand them to have been sort of cowboys, if you will, on television? That was their character?",
And maybe you're right. I apologize. I could be wrong. I wasn't born in 1953 either. So I may be wrong. But you understand them to be television figures?,. Y e s . Ji
Howdy Doody and Hopalong Cassidy were popular figures on television?,"They were popular figures, yes. jj"
And they were popular amongst children?,"That's my understanding, they were popular ; amongst children. i necessary Okay. ""Due to these facts, I found it to when I'm making appearances in supermarkets, drug stores, et cetera, to buy and hand out to the children bars of candy, chocolates, lollipops my idea. chocolate et cetera."" Correct? Yes, that's what it says. i ""How then, here's my "" Sorry. ""Now then..."" I believe it says ""... here's We could, if you feel it has merit, have a cigarette made up in Philip Morris wrappers and in the process of handing guest..."" excuse ""...guest packages out to the adults, we could give the children a replica of our Philip Morris guest package containing chocolate cigarettes."" because I packages, they used Did I read that correctly? Yes, you did. j: And do you think that's guest or quest, honestly can't tell? It would be guest right? I think it's guest. And is that guest packages is another way to refer to those 4s that we were talking about earlier?"
Okay. Not something you're familiar with?,No.
"So picking up where we left off, ""I feel that the gesture in conjunction with 'Johnny' personally handing them to the children will remain in their minds for years to come. This, too, is based on one of my visits to a Piggly Wiggly food chain store in Greenwood, Mississippi. A store sale was held, and the response to the advanced publicity was overwhelming. We were greeted by a group of children (over 200), and the ovation that I received from them was indeed heartwarming. It was necessary after sampling the adults to give the children each some candy and et cetera, which was received by the parents with great appreciation and amazement."" And then the final page there, ""Win a child's affection and admiration, and you have won the loyalty of the parents. ""Sincerely, Gus Wayne."" 0 Did I read that correctly?",Yes.
"Okay. So this it was the suggestion that we saw referred to in both, you know, this PT2214 and in 4 the prior document we looked at, PT5030 talking about preparing some Philip Morris candy cigarettes, chocolate cigarettes to hand out to kids?",It was the suggestion that was rejected by the company.
Okay. And have you seen documents where that suggestion was affirmatively rejected?,"I don't need to see a document showing an affirmative rejection. What I did was I looked to understand did the company ever manufacture candy cigarettes or contract for candy cigarettes in the United States. And I did not see that, see any evidence of that. So typically the company doesn't have a practice of shooting down people's ideas with rejection letters ."
"Right. Well, I understand rejected",They just don't go they just don't go forward with them.
It just doesn't happen.,"Just doesn't happen. 0 Q. Okay. One thing you also didn't see, thought, was ever anyone from Philip Morris instructing Gus Wayne or anyone else to stop buying the kids chocolate and things of that nature?"
because I think the letter may dispel that thought this is a limited occurrence.,Okay.
If you look at the first page of Gus's letter there,Of Gus's letter.
"Yeah, of Gus's letter down at the bottom where it says, ""Due to these facts...""",Down at the bottom.
"Well, it","""Due to these facts..."" Yes."
"Right. I mean, the paragraph above is where he's talking about children being very impressionable and how, you know, when he based on his observations that trademark Johnny is the same as Hopalong Cassidy or Howdy Doody, correct?",Yes.
"And then he says, ""Due to these facts, I 0 have found it necessary to when I'm making appearances in supermarkets, drug stores, et cetera, to buy and 2 hand out to the children bars of candy, chocolates; l o l l i p o p s , e t c e t e r a . ""","I see your p o i n t , y e s . 5 Q. So I th ink t h i s an A Q You're absolutely right. i I think this was something he was doing on ongoing basis. A Q Yeah. And, you know, obviously, you're not familiar with anywhere where Philip Morris ever told him, you know, don't do that; we don't want to encourage the children or we don't want to give gifts to children?"
"Um-hum. Mr. Gallagher, in his opinion, told Ray Jones that this was an excellent suggestion, though?",Yes.
"And do you know from this campaign, this Johnny, Jr. effort, do you know sort of how they were defining children as far as the ones who should be getting the candy cigarettes and how they were defining, you know, who was getting the samples of Philip Morris cigarettes?",
"Well, how they were defining it. In other words, their suggestion was to make some chocolate cigarettes to give to children by Gus Wayne that we've talked about and that Mr. Gallagher thought was an 0 excellent suggestion, correct?","Yes. 2 Q. And you've told, you know, the company didn't do that? 4 A. Right. 5 Q. What I'm asking you is: Are you aware where are you aware of anywhere, any information, any source where they describe who's getting the samples of the Philip Morris cigarettes and who the children were that they thought could get the chocolate cigarettes?"
And the documents you're talking about are documents that were later than this in time that you've seen?,"Prior to this and for all the decades that I could look into, you know, general documents of the company."
"I didn't say this at the outset, but I think you probably are familiar with this. If at any time 4 you want a break, you're in charge today.",Okay. Q A Q A So Oka tell us if you want a break. y. I'11 try to pick reasonable times as well. Sur
"Hi, Miss Bonhomme. Moving forward, let me hand you bear with me. Before I hand you these documents, let me just sort of establish a couple of things. You're familiar with the idea that most cigarette smokers begin smoking regularly before the age of 25?","I'm familiar with that idea, yes. j;"
"And, in fact, most cigarette smokers, the majority begin smoking regularly before the age of 18?",
"Well, let me rephrase the question, see if you agree with this. And I'm not asking for all of the details. I'm just asking for what I think is a pretty well-established point. Most regular smokers began smoking before the age of 18.","As I said, there's it's a very complicated subject. If you're asking me tried a cigarette before the age of 18, most regular smokers have tried a cigarette before the age of 18. But there's a variety of data sources that show smoking rates for 18, 19, 20, 21-year-olds. And that's a significant number of individuals. And if by most you mean greater than 51 percent, so since I've spent my career working with a lot of information, I'm going to try to pin you down so that it properly communicates with accuracy the situation. 21 Q. The majority, yeah. So greater than percent of regular smokers began smoking before the age of 18. Do you on behalf of Philip Morris agree or 4 disagree with that statement?"
Or marketing at individuals over the age of that has an effect on those under the age of 18?,
"Okay. So when we're talking about youth, we're talking about folks who are under the age of 18?",Y e s . I
"Is it your position on behalf of Philip Morris today that the majority, greater than percent, of regular smokers begin smoking before the age of 18 or after the age of 18?",
"All right. Well, we'll come back to that a little bit later with some other documents. Let me just move forward to what we've marked as PT6127. (Plaintiff's Exhibit No. PT6127 for i.d.)",
"So this is a May 31st, 1955 Sydney M. Cantor & Associates Consulting Chemists?",Yes.
"And that's, I guess, the author and the company who produced the document letter written to Dr. R.N. DuPuis, vice-president Philip Morris Incorporated?",Yes.
And that's Robert DuPuis?,"I believe so, yes."
"Okay. Subject line is ""Taste Testing of Cigarettes? """,Yes.
"Let me call your attention first to that last paragraph on the first page. It says, ""Certainly the fact that taste and flavor play a decisive role in determining the popularity of a cigarette has been stressed in cigarette advertising, and the experts can perhaps be accused of becoming sold on their own advertising message. This is not to say that the taste and flavor do not have a part in the choice but rather that this part has been overestimated among major brands because it represents a desirable and simple 0 distinction between cigarettes and one which is above reproach so far as advertising is concerned."" Did I read that correctly?","Yes. 4 Q. All right. And then within this letter Mr. Cantor goes on to sort of describe like in the middle of that next paragraph, he says, ""The flavorful aspects of a cigarette..."" Di you see where I'm"
"""The flavorful aspects of a cigarette may be important in the first cigarette of the day, but I doubt very much whether the habitual smoker can honestly detect any flavor differences, except major ones, the amount of Turkish tobacco, for example, in succeeding cigarettes."" And then if you'll turn to the last page there...",
"Okay. Which, I think, you know, kind of brings us to the point I'm trying to make here is this top paragraph on the third page. ""Your sales also would indicate that 0 advertising and perhaps the flavor appeal is important only to the new smoker or undecided smoker because if smoking a particular brand is the habit we think it is, then, as with any other habit, including the habit of smoking, it is extremely hard to break."" Did I read that correctly?",Yes.
"And the predicate to this was this question that I was asking you about how most people begin smoking or have their first cigarette under the age of who then go on to become regular cigarette smokers. And and given that to be the case, at least what I believe, Mr. Cantor is acknowledging here to Mr. DuPuis that that flavor appeal is important to those new smokers or the undecided smokers, people who haven't smoked yet?",
"And I'm sure you don't remember the question that I asked you, which was lengthy and a while ago.",Not exactly.
