question,answer,Declarative_Text
When do you believe RJR was first convinced that their cigarette products could cause lung cancer in people?,"Well, I think R.J. Reynolds certainly became aware of the potential and the accusations with regard to smoking and health going back many decades. Certainly Reynolds has known about the association between cigarette smoking, the statistical association between cigarette smoking and potential health outcomes since the Surgeon General's report in '64, if not sooner than that, and certainly had debated the meaning of those statistical relationships."
"My question is when did they know for sure, not that there was some debate or not that they were questioning it, but when did RJR know for a fact that smoking RJR cigarettes could cause lung cancer",
"(By Mr, Bauta) in people? VERITEXT REPORTING COMPANY fO (212) 279-9424 www.veritext.com (212) 490-3430 5! o","I don't know how R.J. Reynolds would necessarily know that. That is certainly something that the public health community would consider to be a fact. Certainly R.J. Reynolds has a right to their scientific judgment and opinion on the matter, but at the end of the day it's people like the Surgeon General that make the public health determinations."
"Right, but you still didn't answer my question. Are you saying that RJR is still not convinced that smoking RJR cigarettes can cause lung cancer in people?",
"(By Mr. Bauta) Okay. So why don't you tell me based on your review of RJR documents when you believe that RJR knew for a fact that smoking cigarettes, smoking RJR cigarettes could cause lung cancer in people?",
(By Mr. Bauta) Let's try it a different way because you're still not answering my question. So let me try,"I apologize. Q, That's okay. We'll just work we'll try a different way. Maybe this will be helpful. Do you think today RJR knows that smoking RJR cigarettes can cause lung cancer in people?"
"(By Mr. Bauta) Do you believe the same is true in 2000, in the year 2000, that in the year RJR knew, convinced that smoking RJR cigarettes could cause lung cancer in people? VERITEXT REPORTING COMPANY ro (212) 279-9424 www.veritext.com (212) 490-3430 ro",
(By Mr. Bauta) Did they know it could cause lung cancer?,
"(By Mr. Bauta) Okay. How about in 1990? Do you believe that in 1990 RJR knew, was convinced that smoking people smoking RJR cigarettes were at risk of lung cancer?",
"(By Mr. Bauta) And by major risk factor, are you saying that they knew in 1990 that smoking RJR cigarettes could cause lung cancer in people?","I think the corporate position for Reynolds was that they recognized that certainly there was a risk associated with developing that disease. I think they would still not be completely convinced that all the scientific data was there to proclaim VERITEXT REPORTING COMPANY ro (212) 279-9424 www.veritext.com (212) 490-3430 u> cause and effect, but certainly they understood that there would be an increase in risk."
At what point in time do you believe that there was all the scientific data necessary to give cause and effect to cigarette smoking causing lung cancer in people?,"I don't know that I could necessarily put a time frame on it. I think certainly the data, the scientific data has increased since the 1960s and certainly it's cigarettes are one of the most, if not the most heavily studied commercially available product. If you read the 2004 Surgeon General's report, you would understand that there are that in saying causes a disease what you're trying to do is make a public health assessment judgment. And certainly that's what the Surgeon General does. And if you read that language that talks about cigarette smoking and its related health outcomes, you would know that it says there's scientific data sufficient enough to make a causal relationship. So there is certainly an accumulation of data that has to occur and when that is is dependent upon really the folks making that evaluation."
Do you believe that a manufacturer of a VERITEXT REPORTING COMPANY ^ (212) 279-9424 www.veritext.com (212) 490-3430 J product has a responsibility to make the evaluation of whether or not their product is capable of causing disease in people?,
"(By Mr. Bauta) Do you believe RJR has all the scientific data necessary today in 2010 to make the link, the causal link between their cigarette products and lung cancer in people?","Again, I think I've said before that Reynolds believes that cigarette smoking can cause disease and certainly says that on its website. We don't certainly dispute those those arguments."
"Does Reynolds also believe that there's sufficient data today in 2010, scientific data to VERITEXT REPORTING COMPANY ro (212) 279-9424 www.veritext.com (212) 490-3430 Ol establish that cigarettes cause disease that can result in death of people?","I believe we do, yes."
Do you know when RJR first became aware that there was sufficient scientific evidence to support causation between RJR cigarettes and lung cancer in people?,Certainly RJR has been aware of the smoking and related associations between cigarette smoking and disease at any given time. It's a question of whether or not did R.J. Reynolds agree with that or whether or not they felt that there was sufficient evidence to make statements is a is not the same.
Right. And that's why I'm asking you when did they first agree that there was sufficient evidence to make a causal link between lung cancer and smoking RJR cigarettes?,
(By Mr. Bauta) So you're thinking 2000?,"I believe in terms of what our corporate position was, I would say that that is when we would have put that on the website. Of course, you understand that Bowman Gray in 1964 agreed that there was a statistical association between smoking and lung cancer. So Reynolds has been aware of what the data is and understood what the potential meaning of that data was. And again, what we did to our products worked under the operating premise that certainly smoking could be dangerous."
Would you agree with me that in 1964 RJR disputed what the risk was between smoking and lung cancer?,
"I think I'm almost done. If you can give me one second here? Dr. Figlar, have you reviewed the designation of your testimony that has been filed in the Suarez case?","I would say I'm not quite sure what you mean by designation, but yes. I believe I have. In other words, what my I forgot what the terminology that I would call it is, but what my disclosure is. Sorry."
Right. Essentially a summary of your opinions?,Yes. I have.
Okay. And is that the basis of what you believe your testimony will be in the Suarez case?,"It will, yes."
Are you going to be offering any testimony VERITEXT REPORTING COMPANY fO (212) 279-9424 www.veritext.com (212) 490-3430 that's specific to Mr. Suarez?,"You know, I don't know what you may necessarily ask me about Mr. Suarez on the stand, but no, nothing specific."
